signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
level,T3_zscore_neg_1.5,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T3_zscore_neg_1.5,P3_long_short_pro,1,LB60,-0.7751,-0.3668,-0.7639,-0.11,-0.0647,0.1765,-0.5883,0.4118,8,1.13,85,False
level,T3_zscore_neg_1.5,P3_long_short_counter,1,LB60,0.7751,0.3668,0.5686,0.1791,0.0647,0.1765,-0.3613,0.5882,8,1.13,85,True
level,T2_roll_p25,P1_long_cash_pro,1,LB120,0.9114,0.1,0.1186,0.049,0.0142,0.1419,-0.2895,0.3059,11,1.55,85,False
level,T2_roll_p25,P1_long_cash_counter,1,LB120,0.036,1.3884,2.4377,1.646,0.137,0.0987,-0.0833,0.3529,11,1.55,85,True
level,T2_roll_p25,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T2_roll_p25,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
level,T2_roll_p25,P3_long_short_pro,1,LB120,0.498,-0.7067,-1.1801,-0.1898,-0.1229,0.1738,-0.6471,0.4118,11,1.55,85,False
level,T2_roll_p25,P3_long_short_counter,1,LB120,-0.498,0.7067,1.4104,0.3151,0.1229,0.1738,-0.3899,0.5882,11,1.55,85,True
level,T2_roll_p75,P1_long_cash_pro,1,LB120,0.6085,0.0453,0.0297,0.0328,0.0041,0.0905,-0.1249,0.1529,13,1.84,85,False
level,T2_roll_p75,P1_long_cash_counter,1,LB120,0.3735,1.004,1.5038,0.7203,0.1471,0.1465,-0.2043,0.5059,13,1.84,85,True
level,T2_roll_p75,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T2_roll_p75,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
level,T2_roll_p75,P3_long_short_pro,1,LB120,-0.1488,-0.829,-1.4221,-0.2174,-0.143,0.1725,-0.658,0.4,13,1.84,85,False
level,T2_roll_p75,P3_long_short_counter,1,LB120,0.1488,0.829,1.5564,0.5244,0.143,0.1725,-0.2727,0.6,13,1.84,85,True
level,T3_zscore_1.0,P1_long_cash_pro,1,LB120,0.162,0.1115,0.0717,0.084,0.0074,0.0664,-0.088,0.1176,7,0.99,85,False
level,T3_zscore_1.0,P1_long_cash_counter,1,LB120,0.5345,0.9037,1.2838,0.7104,0.1438,0.1592,-0.2025,0.5412,7,0.99,85,True
level,T3_zscore_1.0,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_1.0,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
