# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps. Pair: wells_fargo_housing_spy (MONTHLY rebalance). Strategy: P1_long_cash_pro on diff_12m (nahb_hmi_diff_12m), threshold T2_roll_p25, lead L7 months, LB60.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
2014-10-31,BUY,SPY,100.0,165.6595,10000.0,5,5.0,576.5531,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 2.000 vs threshold 1.000 — position 0% -> 100%
2014-12-31,SELL,SPY,0.0,169.7787,10000.0,5,5.0,595.1391,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 1.000 vs threshold 1.000 — position 100% -> 0%
2015-04-30,BUY,SPY,100.0,172.9593,10000.0,5,5.0,601.9748,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 2.000 vs threshold 1.000 — position 0% -> 100%
2015-05-31,SELL,SPY,0.0,175.1829,10000.0,5,5.0,601.9748,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 0.000 vs threshold 0.750 — position 100% -> 0%
2015-06-30,BUY,SPY,100.0,171.6246,10000.0,5,5.0,587.716,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 4.000 vs threshold 0.750 — position 0% -> 100%
2016-11-30,SELL,SPY,0.0,188.6708,10000.0,5,5.0,629.1612,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 2.000 vs threshold 2.000 — position 100% -> 0%
2016-12-31,BUY,SPY,100.0,192.4956,10000.0,5,5.0,643.9428,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 4.000 vs threshold 2.000 — position 0% -> 100%
2017-01-31,SELL,SPY,0.0,195.9403,10000.0,5,5.0,643.9428,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 0.000 vs threshold 2.000 — position 100% -> 0%
2017-04-30,BUY,SPY,100.0,205.9174,10000.0,5,5.0,651.3272,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 4.000 vs threshold 2.000 — position 0% -> 100%
2017-05-31,SELL,SPY,0.0,208.8235,10000.0,5,5.0,651.3272,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -2.000 vs threshold 2.000 — position 100% -> 0%
2017-07-31,BUY,SPY,100.0,214.4743,10000.0,5,5.0,666.7702,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 9.000 vs threshold 2.000 — position 0% -> 100%
2018-04-30,SELL,SPY,0.0,233.1445,10000.0,5,5.0,729.2326,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -1.000 vs threshold 2.000 — position 100% -> 0%
2018-05-31,BUY,SPY,100.0,238.812,10000.0,5,5.0,749.3905,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 5.000 vs threshold 2.000 — position 0% -> 100%
2018-10-31,SELL,SPY,0.0,240.6946,10000.0,5,5.0,819.6372,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -1.000 vs threshold 1.750 — position 100% -> 0%
2019-01-31,BUY,SPY,100.0,241.4739,10000.0,5,5.0,893.2685,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 2.000 vs threshold 1.000 — position 0% -> 100%
2019-03-31,SELL,SPY,0.0,253.814,10000.0,5,5.0,925.4662,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 0.000 vs threshold 1.000 — position 100% -> 0%
2019-04-30,BUY,SPY,100.0,264.1829,10000.0,5,5.0,967.3588,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 3.000 vs threshold 1.000 — position 0% -> 100%
2019-05-31,SELL,SPY,0.0,247.3356,10000.0,5,5.0,967.3588,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 0.000 vs threshold 1.000 — position 100% -> 0%
2020-04-30,BUY,SPY,100.0,266.3351,10000.0,5,5.0,1102.8954,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 1.000 vs threshold 0.000 — position 0% -> 100%
2020-11-30,SELL,SPY,0.0,334.7609,10000.0,5,5.0,1263.6098,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -33.000 vs threshold -0.250 — position 100% -> 0%
2021-02-28,BUY,SPY,100.0,353.1801,10000.0,5,5.0,1301.5255,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 7.000 vs threshold -1.250 — position 0% -> 100%
2022-03-31,SELL,SPY,0.0,426.2769,10000.0,5,5.0,1530.3113,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -3.000 vs threshold -1.000 — position 100% -> 0%
2022-07-31,BUY,SPY,100.0,390.5333,10000.0,5,5.0,1680.4421,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -2.000 vs threshold -3.000 — position 0% -> 100%
2022-09-30,SELL,SPY,0.0,339.9686,10000.0,5,5.0,1607.7968,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -3.000 vs threshold -3.000 — position 100% -> 0%
2024-01-31,BUY,SPY,100.0,468.7397,10000.0,5,5.0,1634.9964,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -12.000 vs threshold -14.000 — position 0% -> 100%
2025-02-28,SELL,SPY,0.0,584.179,10000.0,5,5.0,2090.0869,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -15.000 vs threshold -14.000 — position 100% -> 0%
2025-03-31,BUY,SPY,100.0,551.629,10000.0,5,5.0,1968.057,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -11.000 vs threshold -14.000 — position 0% -> 100%
