pair_name,horizon_days,metric,value,p_value,n_obs
rs_zscore126__spy_fwd_126d,126,kendall,0.1107,0.0,7834
rs_zscore126__spy_fwd_126d,126,distance,0.1784,,2000
rs_zscore126__spy_fwd_252d,252,pearson,0.1237,0.0,7708
rs_zscore126__spy_fwd_252d,252,spearman,0.0977,0.0,7708
rs_zscore126__spy_fwd_252d,252,kendall,0.0655,0.0,7708
rs_zscore126__spy_fwd_252d,252,distance,0.1397,,2000
rs_zscore252__spy_fwd_1d,1,pearson,0.0176,0.1196,7833
rs_zscore252__spy_fwd_1d,1,spearman,0.0147,0.1932,7833
rs_zscore252__spy_fwd_1d,1,kendall,0.0095,0.2058,7833
rs_zscore252__spy_fwd_1d,1,distance,0.0913,,2000
rs_zscore252__spy_fwd_5d,5,pearson,0.038,0.0008,7829
rs_zscore252__spy_fwd_5d,5,spearman,0.0199,0.0785,7829
rs_zscore252__spy_fwd_5d,5,kendall,0.0128,0.0895,7829
rs_zscore252__spy_fwd_5d,5,distance,0.0994,,2000
rs_zscore252__spy_fwd_21d,21,pearson,0.0931,0.0,7813
rs_zscore252__spy_fwd_21d,21,spearman,0.058,0.0,7813
rs_zscore252__spy_fwd_21d,21,kendall,0.0372,0.0,7813
rs_zscore252__spy_fwd_21d,21,distance,0.1327,,2000
rs_zscore252__spy_fwd_63d,63,pearson,0.1293,0.0,7771
rs_zscore252__spy_fwd_63d,63,spearman,0.111,0.0,7771
rs_zscore252__spy_fwd_63d,63,kendall,0.0761,0.0,7771
rs_zscore252__spy_fwd_63d,63,distance,0.1913,,2000
rs_zscore252__spy_fwd_126d,126,pearson,0.1281,0.0,7708
rs_zscore252__spy_fwd_126d,126,spearman,0.1332,0.0,7708
rs_zscore252__spy_fwd_126d,126,kendall,0.0879,0.0,7708
rs_zscore252__spy_fwd_126d,126,distance,0.1688,,2000
rs_zscore252__spy_fwd_252d,252,pearson,0.1008,0.0,7582
rs_zscore252__spy_fwd_252d,252,spearman,0.0248,0.0305,7582
rs_zscore252__spy_fwd_252d,252,kendall,0.0194,0.0113,7582
rs_zscore252__spy_fwd_252d,252,distance,0.1458,,2000
sox_mom1m__spy_fwd_1d,1,pearson,-0.0131,0.2405,8063
sox_mom1m__spy_fwd_1d,1,spearman,-0.0119,0.2869,8063
sox_mom1m__spy_fwd_1d,1,kendall,-0.0082,0.2686,8063
sox_mom1m__spy_fwd_1d,1,distance,0.1406,,2000
sox_mom1m__spy_fwd_5d,5,pearson,-0.0199,0.0748,8059
sox_mom1m__spy_fwd_5d,5,spearman,-0.0207,0.0634,8059
sox_mom1m__spy_fwd_5d,5,kendall,-0.0137,0.0642,8059
sox_mom1m__spy_fwd_5d,5,distance,0.1508,,2000
sox_mom1m__spy_fwd_21d,21,pearson,0.0034,0.7628,8043
sox_mom1m__spy_fwd_21d,21,spearman,-0.0159,0.153,8043
sox_mom1m__spy_fwd_21d,21,kendall,-0.0103,0.1672,8043
sox_mom1m__spy_fwd_21d,21,distance,0.1163,,2000
sox_mom1m__spy_fwd_63d,63,pearson,0.0242,0.0305,8001
sox_mom1m__spy_fwd_63d,63,spearman,0.0268,0.0166,8001
sox_mom1m__spy_fwd_63d,63,kendall,0.0184,0.0138,8001
sox_mom1m__spy_fwd_63d,63,distance,0.0962,,2000
sox_mom1m__spy_fwd_126d,126,pearson,0.0456,0.0,7938
sox_mom1m__spy_fwd_126d,126,spearman,0.0512,0.0,7938
sox_mom1m__spy_fwd_126d,126,kendall,0.035,0.0,7938
sox_mom1m__spy_fwd_126d,126,distance,0.1103,,2000
sox_mom1m__spy_fwd_252d,252,pearson,0.0491,0.0,7812
sox_mom1m__spy_fwd_252d,252,spearman,0.053,0.0,7812
sox_mom1m__spy_fwd_252d,252,kendall,0.0362,0.0,7812
sox_mom1m__spy_fwd_252d,252,distance,0.1177,,2000
sox_mom3m__spy_fwd_1d,1,pearson,-0.0055,0.6211,8021
sox_mom3m__spy_fwd_1d,1,spearman,-0.0027,0.8092,8021
sox_mom3m__spy_fwd_1d,1,kendall,-0.0019,0.7954,8021
sox_mom3m__spy_fwd_1d,1,distance,0.1416,,2000
sox_mom3m__spy_fwd_5d,5,pearson,-0.0074,0.5078,8017
sox_mom3m__spy_fwd_5d,5,spearman,-0.0147,0.1887,8017
sox_mom3m__spy_fwd_5d,5,kendall,-0.0104,0.1629,8017
sox_mom3m__spy_fwd_5d,5,distance,0.1159,,2000
sox_mom3m__spy_fwd_21d,21,pearson,0.0249,0.0258,8001
sox_mom3m__spy_fwd_21d,21,spearman,0.0037,0.7381,8001
sox_mom3m__spy_fwd_21d,21,kendall,0.0024,0.7501,8001
sox_mom3m__spy_fwd_21d,21,distance,0.11,,2000
sox_mom3m__spy_fwd_63d,63,pearson,0.0856,0.0,7959
sox_mom3m__spy_fwd_63d,63,spearman,0.0579,0.0,7959
sox_mom3m__spy_fwd_63d,63,kendall,0.0437,0.0,7959
sox_mom3m__spy_fwd_63d,63,distance,0.1617,,2000
sox_mom3m__spy_fwd_126d,126,pearson,0.1007,0.0,7896
sox_mom3m__spy_fwd_126d,126,spearman,0.1163,0.0,7896
sox_mom3m__spy_fwd_126d,126,kendall,0.0826,0.0,7896
