signal,horizon,coef,se,t_stat,p_value,r_squared,n
rs_zscore252,spy_fwd_5d,0.00064007,0.00020753,3.084,0.002,0.00145,7829
rs_zscore252,spy_fwd_21d,0.00300368,0.00038023,7.9,0.0,0.00867,7813
rs_zscore252,spy_fwd_63d,0.00685914,0.00058938,11.638,0.0,0.01672,7771
rs_zscore252,spy_fwd_126d,0.00987849,0.00076587,12.898,0.0,0.01641,7708
rs_zscore252,spy_fwd_252d,0.01191834,0.00144324,8.258,0.0,0.01017,7582
sox_mom1m,spy_fwd_1d,-1.572e-05,2.041e-05,-0.77,0.4412,0.00017,8063
sox_mom1m,spy_fwd_5d,-4.849e-05,3.61e-05,-1.343,0.1792,0.00039,8059
sox_mom1m,spy_fwd_21d,1.576e-05,6.427e-05,0.245,0.8063,1e-05,8043
sox_mom1m,spy_fwd_63d,0.00018837,0.0001024,1.84,0.0658,0.00058,8001
sox_mom1m,spy_fwd_126d,0.00051593,0.00014263,3.617,0.0003,0.00208,7938
sox_mom1m,spy_fwd_252d,0.00085579,0.0002385,3.588,0.0003,0.00241,7812
sox_mom3m,spy_fwd_1d,-3.68e-06,1.066e-05,-0.345,0.73,3e-05,8021
sox_mom3m,spy_fwd_5d,-1.005e-05,2.052e-05,-0.49,0.6242,5e-05,8017
sox_mom3m,spy_fwd_21d,6.526e-05,3.546e-05,1.841,0.0657,0.00062,8001
sox_mom3m,spy_fwd_63d,0.00036917,5.179e-05,7.128,0.0,0.00733,7959
sox_mom3m,spy_fwd_126d,0.00063092,7.003e-05,9.009,0.0,0.01014,7896
sox_mom3m,spy_fwd_252d,0.00046585,0.00013123,3.55,0.0004,0.0023,7770
sox_mom6m,spy_fwd_1d,2.01e-06,6.48e-06,0.31,0.7563,2e-05,7958
sox_mom6m,spy_fwd_5d,1.659e-05,1.291e-05,1.285,0.1987,0.00034,7954
sox_mom6m,spy_fwd_21d,7.666e-05,2.274e-05,3.372,0.0007,0.00197,7938
sox_mom6m,spy_fwd_63d,0.00027189,3.234e-05,8.408,0.0,0.00913,7896
sox_mom6m,spy_fwd_126d,0.00045022,4.881e-05,9.225,0.0,0.01178,7833
sox_mom6m,spy_fwd_252d,0.00018868,8.69e-05,2.171,0.0299,0.00087,7707
sox_mom12m,spy_fwd_1d,1.35e-06,3.73e-06,0.361,0.7178,2e-05,7832
sox_mom12m,spy_fwd_5d,9.12e-06,7.62e-06,1.197,0.2314,0.00027,7828
sox_mom12m,spy_fwd_21d,5.101e-05,1.41e-05,3.619,0.0003,0.00225,7812
sox_mom12m,spy_fwd_63d,8.749e-05,2.152e-05,4.065,0.0,0.00239,7770
sox_mom12m,spy_fwd_126d,8.208e-05,3.188e-05,2.575,0.01,0.001,7707
sox_mom12m,spy_fwd_252d,-0.00021868,5.18e-05,-4.221,0.0,0.00307,7581
hmm_stress,spy_fwd_1d,-0.00079056,0.00035608,-2.22,0.0264,0.0009,8083
hmm_stress,spy_fwd_5d,-0.00311342,0.00070355,-4.425,0.0,0.00337,8079
hmm_stress,spy_fwd_21d,-0.00719433,0.00131723,-5.462,0.0,0.00492,8063
hmm_stress,spy_fwd_63d,-0.00298904,0.00210562,-1.42,0.1557,0.00031,8021
hmm_stress,spy_fwd_126d,-0.0022428,0.00300843,-0.746,0.456,8e-05,7958
hmm_stress,spy_fwd_252d,-0.01367489,0.00462757,-2.955,0.0031,0.0013,7832
