signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_ratio,T2_rp50,P3,63,0.1549,3.16,-27.69,58.27,1566,False
S1_ratio,T2_rp75,P1,63,0.6591,11.86,-33.72,21.71,1566,True
S1_ratio,T2_rp75,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T2_rp75,P3,63,0.3941,8.03,-33.72,43.42,1566,False
S1_ratio,T4_unity,P1,63,0.6794,13.44,-33.72,14.19,1566,True
S1_ratio,T4_unity,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T4_unity,P3,63,0.5492,11.19,-33.72,28.37,1566,False
S1_ratio,T1_p25,P1,126,-0.054,-0.69,-38.76,22.47,1566,False
S1_ratio,T1_p25,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T1_p25,P3,126,-0.8391,-17.08,-76.33,44.95,1566,False
S1_ratio,T1_p50,P1,126,0.2545,3.98,-33.44,24.97,1566,False
S1_ratio,T1_p50,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T1_p50,P3,126,-0.3789,-7.72,-62.49,49.93,1566,False
S1_ratio,T1_p75,P1,126,0.729,13.23,-28.55,19.78,1566,True
S1_ratio,T1_p75,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T1_p75,P3,126,0.5293,10.78,-34.0,39.56,1566,False
S1_ratio,T2_rp25,P1,126,0.5298,6.56,-23.34,27.51,1566,False
S1_ratio,T2_rp25,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T2_rp25,P3,126,-0.1263,-2.57,-51.2,55.02,1566,False
S1_ratio,T2_rp50,P1,126,0.5549,8.56,-28.32,29.03,1566,False
S1_ratio,T2_rp50,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T2_rp50,P3,126,0.0706,1.44,-34.26,58.07,1566,False
S1_ratio,T2_rp75,P1,126,0.599,10.48,-33.44,21.71,1566,True
S1_ratio,T2_rp75,P2,126,0.6333,9.19,-28.0,15.0,1566,True
