entry_date,exit_date,direction,holding_days,trade_return_pct
2015-06-09,2015-06-15,Long,6,0.32
2015-06-15,2015-06-18,Cash,3,0.0
2015-06-18,2015-06-25,Long,7,-0.89
2015-06-25,2015-07-13,Cash,18,0.0
2015-07-13,2015-07-27,Long,14,-1.42
2015-07-27,2015-07-28,Cash,1,0.0
2015-07-28,2015-08-19,Long,22,-0.48
2015-08-19,2015-09-10,Cash,22,0.0
2015-09-10,2015-09-14,Long,4,0.08
2015-09-14,2015-09-16,Cash,2,0.0
2015-09-16,2015-09-17,Long,1,-0.22
2015-09-17,2015-09-18,Cash,1,0.0
2015-09-18,2015-09-23,Long,5,-0.95
2015-09-23,2015-10-01,Cash,8,0.0
2015-10-01,2015-12-11,Long,71,5.07
2015-12-11,2015-12-15,Cash,4,0.0
2015-12-15,2015-12-18,Long,3,-1.86
2015-12-18,2015-12-21,Cash,3,0.0
2015-12-21,2016-01-06,Long,16,-1.41
2016-01-06,2016-01-22,Cash,16,0.0
2016-01-22,2016-02-08,Long,17,-2.68
2016-02-08,2016-02-12,Cash,4,0.0
2016-02-12,2016-06-13,Long,122,12.27
2016-06-13,2016-06-17,Cash,4,0.0
2016-06-17,2016-06-20,Long,3,0.64
2016-06-20,2016-06-29,Cash,9,0.0
2016-06-29,2016-08-25,Long,57,5.34
2016-08-25,2016-08-26,Cash,1,0.0
2016-08-26,2016-09-09,Long,14,-1.85
2016-09-09,2016-09-21,Cash,12,0.0
2016-09-21,2016-10-11,Long,20,-1.11
2016-10-11,2016-10-20,Cash,9,0.0
2016-10-20,2016-10-25,Long,5,0.14
2016-10-25,2016-11-10,Cash,16,0.0
2016-11-10,2016-12-30,Long,50,3.65
2016-12-30,2017-01-03,Cash,4,0.0
2017-01-03,2017-01-19,Long,16,0.3
2017-01-19,2017-01-20,Cash,1,0.0
2017-01-20,2017-02-15,Long,26,3.61
2017-02-15,2017-02-21,Cash,6,0.0
2017-02-21,2017-02-28,Long,7,-0.01
2017-02-28,2017-03-02,Cash,2,0.0
2017-03-02,2017-03-14,Long,12,-0.57
2017-03-14,2017-03-15,Cash,1,0.0
2017-03-15,2017-03-21,Long,6,-1.76
2017-03-21,2017-04-24,Cash,34,0.0
2017-04-24,2017-05-17,Long,23,-0.57
2017-05-17,2017-05-22,Cash,5,0.0
2017-05-22,2017-06-12,Long,21,1.6
2017-06-12,2017-06-13,Cash,1,0.0
2017-06-13,2017-06-20,Long,7,-0.15
2017-06-20,2017-06-21,Cash,1,0.0
2017-06-21,2017-06-27,Long,6,-0.67
2017-06-27,2017-06-28,Cash,1,0.0
2017-06-28,2017-06-29,Long,1,-0.88
2017-06-29,2017-06-30,Cash,1,0.0
2017-06-30,2017-07-06,Long,6,-0.52
2017-07-06,2017-07-07,Cash,1,0.0
2017-07-07,2017-08-10,Long,34,0.68
2017-08-10,2017-08-22,Cash,12,0.0
2017-08-22,2017-10-16,Long,55,4.53
2017-10-16,2017-10-27,Cash,11,0.0
2017-10-27,2017-10-30,Long,3,-0.37
2017-10-30,2017-10-31,Cash,1,0.0
2017-10-31,2017-11-10,Long,10,0.37
2017-11-10,2017-11-20,Cash,10,0.0
2017-11-20,2017-11-29,Long,9,1.71
2017-11-29,2017-12-06,Cash,7,0.0
2017-12-06,2017-12-27,Long,21,2.07
2017-12-27,2017-12-28,Cash,1,0.0
2017-12-28,2017-12-29,Long,1,-0.38
2017-12-29,2018-01-02,Cash,4,0.0
2018-01-02,2018-01-12,Long,10,3.4
2018-01-12,2018-01-26,Cash,14,0.0
2018-01-26,2018-01-29,Long,3,-0.66
2018-01-29,2018-03-07,Cash,37,0.0
2018-03-07,2018-03-19,Long,12,-0.44
2018-03-19,2018-03-21,Cash,2,0.0
2018-03-21,2018-03-22,Long,1,-2.5
2018-03-22,2018-03-29,Cash,7,0.0
2018-03-29,2018-04-02,Long,4,-2.16
2018-04-02,2018-04-05,Cash,3,0.0
2018-04-05,2018-04-06,Long,1,-2.23
2018-04-06,2018-04-12,Cash,6,0.0
2018-04-12,2018-10-05,Long,176,9.21
2018-10-05,2018-11-07,Cash,33,0.0
2018-11-07,2018-11-12,Long,5,-3.0
2018-11-12,2018-11-16,Cash,4,0.0
2018-11-16,2018-11-20,Long,4,-3.51
2018-11-20,2018-11-21,Cash,1,0.0
2018-11-21,2018-11-23,Long,2,-0.67
2018-11-23,2018-11-26,Cash,3,0.0
2018-11-26,2018-12-04,Long,8,1.03
2018-12-04,2018-12-11,Cash,7,0.0
2018-12-11,2018-12-17,Long,6,-3.32
2018-12-17,2019-01-02,Cash,16,0.0
2019-01-02,2019-05-07,Long,125,15.6
2019-05-07,2019-05-10,Cash,3,0.0
2019-05-10,2019-05-13,Long,3,-2.51
2019-05-13,2019-05-14,Cash,1,0.0
2019-05-14,2019-06-03,Long,20,-3.12
2019-06-03,2019-06-04,Cash,1,0.0
2019-06-04,2019-07-31,Long,57,6.54
2019-07-31,2019-08-08,Cash,8,0.0
2019-08-08,2019-08-09,Long,1,-0.68
2019-08-09,2019-08-13,Cash,4,0.0
2019-08-13,2019-08-14,Long,1,-2.96
2019-08-14,2019-08-16,Cash,2,0.0
2019-08-16,2019-08-23,Long,7,-1.38
2019-08-23,2019-08-28,Cash,5,0.0
2019-08-28,2019-08-30,Long,2,1.23
2019-08-30,2019-09-02,Cash,3,0.0
2019-09-02,2019-09-03,Long,1,-0.58
2019-09-03,2019-09-04,Cash,1,0.0
2019-09-04,2019-10-02,Long,28,-1.58
2019-10-02,2019-10-03,Cash,1,0.0
2019-10-03,2019-10-08,Long,5,-0.65
2019-10-08,2019-10-09,Cash,1,0.0
2019-10-09,2019-12-03,Long,55,6.28
2019-12-03,2019-12-04,Cash,1,0.0
2019-12-04,2019-12-09,Long,5,0.78
2019-12-09,2019-12-11,Cash,2,0.0
2019-12-11,2019-12-30,Long,19,2.62
2019-12-30,2019-12-31,Cash,1,0.0
2019-12-31,2020-01-24,Long,24,2.15
2020-01-24,2020-04-03,Cash,70,0.0
2020-04-03,2020-10-06,Long,186,36.09
2020-10-06,2020-10-07,Cash,1,0.0
2020-10-07,2020-10-13,Long,6,2.75
2020-10-13,2020-11-06,Cash,24,0.0
2020-11-06,2020-11-09,Long,3,1.26
2020-11-09,2020-11-10,Cash,1,0.0
2020-11-10,2021-01-04,Long,55,4.61
2021-01-04,2021-01-05,Cash,1,0.0
2021-01-05,2021-01-06,Long,1,0.6
