signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,126,0.5037,-31.9,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,126,0.6103,-28.83,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,126,0.6079,-28.32,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,252,0.7578,-33.72,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,252,0.67,-33.72,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,252,0.7672,-27.52,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,0,0.6894,-25.14,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
