entry_date,exit_date,direction,holding_days,trade_return_pct,signal_value,threshold_value,threshold_comparison,regime_tag
2019-12-31,2020-01-31,Short,31,0.04,-3.5635,-2.7293,-3.5635 <= -2.7293,bearish
2020-01-31,2020-06-30,Long,151,-3.17,6.1586,-2.7293,+6.1586 > -2.7293,strong-bullish
2020-06-30,2020-07-31,Short,31,-5.89,-5.9935,-2.7293,-5.9935 <= -2.7293,strong-bearish
2020-07-31,2020-09-30,Long,61,2.97,3.6036,-2.7293,+3.6036 > -2.7293,strong-bullish
2020-09-30,2020-11-30,Short,61,-8.66,-7.4914,-2.7293,-7.4914 <= -2.7293,strong-bearish
2020-11-30,2021-08-31,Long,274,26.07,16.171,-2.7293,+16.1710 > -2.7293,strong-bullish
2021-08-31,2021-09-30,Short,30,4.66,-7.7628,-2.7293,-7.7628 <= -2.7293,strong-bearish
2021-09-30,2021-12-31,Long,92,11.07,2.63,-2.7293,+2.6300 > -2.7293,strong-bullish
2021-12-31,2022-01-31,Short,31,5.27,-2.8773,-2.7293,-2.8773 <= -2.7293,bearish
2022-01-31,2022-03-31,Long,59,0.7,0.2418,-2.7293,+0.2418 > -2.7293,strong-bullish
2022-03-31,2022-04-30,Short,30,8.78,-5.53,-2.7293,-5.5300 <= -2.7293,strong-bearish
2022-04-30,2022-08-31,Long,123,-3.67,4.0854,-2.7293,+4.0854 > -2.7293,strong-bullish
2022-08-31,2022-09-30,Short,30,9.24,-3.2813,-2.7293,-3.2813 <= -2.7293,bearish
2022-09-30,2022-11-30,Long,61,14.14,0.5924,-2.7293,+0.5924 > -2.7293,strong-bullish
2022-11-30,2022-12-31,Short,31,5.76,-8.3378,-2.7293,-8.3378 <= -2.7293,strong-bearish
2022-12-31,2023-02-28,Long,59,3.62,1.9366,-2.7293,+1.9366 > -2.7293,strong-bullish
2023-02-28,2023-03-31,Short,31,-3.71,-8.5731,-2.7293,-8.5731 <= -2.7293,strong-bearish
2023-03-31,2023-05-31,Long,61,2.07,2.7617,-2.7293,+2.7617 > -2.7293,strong-bullish
2023-05-31,2023-06-30,Short,30,-6.48,-12.1079,-2.7293,-12.1079 <= -2.7293,strong-bearish
2023-06-30,2023-09-30,Long,92,-3.22,0.6424,-2.7293,+0.6424 > -2.7293,strong-bullish
2023-09-30,2023-10-31,Short,31,2.17,-8.529,-2.7293,-8.5290 <= -2.7293,strong-bearish
2023-10-31,2023-12-31,Long,61,14.12,-0.4054,-2.7293,-0.4054 > -2.7293,strong-bullish
2023-12-31,2024-01-31,Short,31,-1.59,-7.0476,-2.7293,-7.0476 <= -2.7293,strong-bearish
2024-01-31,2024-09-30,Long,243,19.94,3.9617,-2.7293,+3.9617 > -2.7293,strong-bullish
2024-09-30,2024-10-31,Short,31,0.89,-6.4046,-2.7293,-6.4046 <= -2.7293,strong-bearish
2024-10-31,2024-11-30,Long,30,5.96,-1.1518,-2.7293,-1.1518 > -2.7293,strong-bullish
2024-11-30,2024-12-31,Short,31,2.41,-3.5641,-2.7293,-3.5641 <= -2.7293,bearish
2024-12-31,2025-03-31,Long,90,-4.27,3.838,-2.7293,+3.8380 > -2.7293,strong-bullish
2025-03-31,2025-04-30,Short,30,0.87,-2.8455,-2.7293,-2.8455 <= -2.7293,bearish
2025-04-30,2025-10-31,Long,184,23.7,-0.4184,-2.7293,-0.4184 > -2.7293,strong-bullish
2025-10-31,2025-11-30,Short,30,-0.2,-3.9838,-2.7293,-3.9838 <= -2.7293,bearish
2025-11-30,2025-12-31,Long,31,0.08,-1.9691,-2.7293,-1.9691 > -2.7293,bullish
