signal,signal_column,threshold,strategy,lead_quarters,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,sloos_level,T_roll_p50,P1_long_cash,4,countercyclical,0.19562560112310914,0.19562560112310914,0.13234568099056243,0.0765262161769255,0.015494258851530107,0.10903149724984132,-0.20246994592948397,0.21875,0.625,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,0,procyclical,0.7398836217730138,0.7398836217730138,0.6739987638252496,0.5364248480665631,0.1086099099832687,0.1576925531348602,-0.20246994592948397,0.46875,0.75,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,1,procyclical,1.0436982303391575,1.0436982303391575,0.7874643644602547,0.7219488017616925,0.1404023327066617,0.1367044895853346,-0.19447685537264314,0.53125,0.75,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,2,procyclical,1.0172832973228485,1.0172832973228485,0.6627034021858781,0.6864259254615291,0.13349395543001452,0.13368090884218364,-0.19447685537264314,0.53125,0.625,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,3,procyclical,0.9965134997444467,0.9965134997444467,0.7976785631770829,0.6907819741590904,0.13434110608256633,0.13776689835977965,-0.19447685537264314,0.53125,0.625,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,4,procyclical,0.9480018285659703,0.9480018285659703,0.8835056790053076,0.6695584256751457,0.13021361711355994,0.14134643783675058,-0.19447685537264314,0.53125,0.625,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,0,countercyclical,0.38413473892887545,0.38413473892887545,0.30655157737457894,0.17617041084499677,0.04603169943043639,0.14605720882779405,-0.2612907537062924,0.5,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,1,countercyclical,0.6862831470718473,0.6862831470718473,0.7764730101067288,0.3874247660980683,0.09269981027928553,0.14545059418883707,-0.23927177194402838,0.5,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,2,countercyclical,0.3389447406909453,0.3389447406909453,0.2815556114144577,0.15761631117483085,0.03997699100255647,0.1496219478884401,-0.2536348598985626,0.46875,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,3,countercyclical,0.4478859092717593,0.4478859092717593,0.4353218892827826,0.25832411767087043,0.061809669370986864,0.16490064231671886,-0.23927177194402838,0.46875,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,4,countercyclical,0.7189458547834999,0.7189458547834999,0.8097162572216315,0.4040116365625824,0.09666858016633584,0.14370910801682055,-0.23927177194402827,0.5,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,0,procyclical,0.9083296025736771,0.9083296025736771,4.027206794670906,1.9715173593158486,0.09721860253334325,0.10923390106245674,-0.049311563032384265,0.25,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,1,procyclical,0.5046947937016906,0.5046947937016906,0.21948464338926396,0.25893826034847073,0.05035749860823335,0.10997882857258298,-0.19447685537264314,0.25,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,2,procyclical,1.0092993643787507,1.0092993643787507,0.0,3.2134354328688643,0.1036065695532491,0.1036485953372702,-0.03224168392913751,0.28125,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,3,procyclical,1.0260177643372688,1.0260177643372688,0.0,2.509623052657199,0.08091447324505063,0.07940345911114023,-0.03224168392913751,0.28125,1.0,32,32,True
level,sloos_level,T_roll_p75,P1_long_cash,4,procyclical,0.46493077384530884,0.46493077384530884,0.20291711787070288,0.23939262758888538,0.046556325412880684,0.11185959102667387,-0.19447685537264314,0.25,1.0,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,0,countercyclical,0.5399384740142855,0.5399384740142855,0.3234811280876909,0.22245025517096276,0.0609575142282357,0.12505559006286526,-0.27402762105796274,0.40625,1.5,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,1,countercyclical,0.8257083843912866,0.8257083843912866,0.7260571246748099,0.6978095190900676,0.09442819877705433,0.118423501384095,-0.13532088083319238,0.40625,1.375,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,2,countercyclical,0.8235580421314506,0.8235580421314506,0.8012518803718924,0.6363141828905324,0.08610659571539991,0.10813761056990116,-0.13532088083319238,0.40625,1.375,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,3,countercyclical,0.2911927440234606,0.2911927440234606,0.20390001429501048,0.15964164352397517,0.031898526137060346,0.14456032344203032,-0.19981331582989992,0.40625,1.25,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,4,countercyclical,0.45540784125389566,0.45540784125389566,0.45837676394429916,0.21579598256789406,0.05472365233690324,0.13780562086821146,-0.25358976421021184,0.375,1.25,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,0,procyclical,0.49072062640095426,0.49072062640095426,0.5617997893324097,0.26037036272107755,0.06229927804998159,0.1444581607902679,-0.23927177194402827,0.34375,1.5,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,1,procyclical,0.5130680730244496,0.5130680730244496,0.4348225972067261,0.26094901860224284,0.06546119622101676,0.14510788250213238,-0.2508581813093438,0.375,1.375,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,2,procyclical,0.484775717667311,0.484775717667311,0.386109610573688,0.3072984704208316,0.06221870469031887,0.1476027815903286,-0.20246994592948386,0.375,1.375,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,3,procyclical,1.0596833215760215,1.0596833215760215,6.6631512754417646,2.325359921504003,0.11466713234222503,0.10892328335338157,-0.049311563032384376,0.375,1.25,32,32,True
diff_1q,sloos_diff_1q,T0_zero,P1_long_cash,4,procyclical,0.8511706654776682,0.8511706654776682,0.4356183570698773,0.5139232422538152,0.09994617605643508,0.12195287724068153,-0.19447685537264314,0.40625,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,0,countercyclical,0.8819685421206351,0.8819685421206351,0.373937126135354,0.5017630860191468,0.09758130711107671,0.11424644243890456,-0.19447685537264314,0.46875,1.5,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,1,countercyclical,0.7407614777309213,0.7407614777309213,0.7272583878600571,0.5936358711195536,0.08033132897407746,0.1134437764861326,-0.13532088083319238,0.40625,1.375,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,2,countercyclical,0.9007029084050737,0.9007029084050737,0.9198026707145983,0.7304612933508948,0.09884666563079603,0.11261772920153555,-0.13532088083319238,0.4375,1.375,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,3,countercyclical,0.31803355169402237,0.31803355169402237,0.24502244650919508,0.18413438630694656,0.036792502286294715,0.14953093543948062,-0.19981331582989992,0.40625,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,4,countercyclical,0.505556332008436,0.505556332008436,0.5239357914795585,0.2614201637690835,0.06255046580692669,0.13938842291648182,-0.23927177194402838,0.40625,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,0,procyclical,0.38413179710342443,0.38413179710342443,0.4119855436595408,0.19093781712866645,0.04568602983550085,0.1420456881011022,-0.23927177194402827,0.28125,1.5,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,1,procyclical,0.49653903002759525,0.49653903002759525,0.40864895580660293,0.24867762192587095,0.06238281596865658,0.14357633519397792,-0.2508581813093438,0.34375,1.375,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,2,procyclical,0.37611369447180465,0.37611369447180465,0.27604053102691295,0.21969624851525288,0.0444818875577937,0.1432835822882287,-0.20246994592948386,0.3125,1.375,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,3,procyclical,1.0429621311974357,1.0429621311974357,4.432239511662096,2.1698009522258648,0.10699627642341336,0.10333086505422681,-0.049311563032384376,0.34375,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p50,P1_long_cash,4,procyclical,0.7159296447412552,0.7159296447412552,0.3493835328493437,0.41218721635099637,0.08016087366074509,0.11852747617113941,-0.19447685537264314,0.34375,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,0,countercyclical,0.668565705105421,0.668565705105421,0.5889287685444796,0.30894830568264964,0.08466036923610476,0.13687363648821568,-0.27402762105796274,0.53125,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,1,countercyclical,0.893306604703142,0.893306604703142,0.9287511463442241,0.7766478429606055,0.12511998998092233,0.14533360137032156,-0.16110260411457666,0.5625,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,2,countercyclical,0.991546857342583,0.991546857342583,1.3681640692011454,0.8686624377263571,0.11754816621983877,0.12068608190663889,-0.13532088083319238,0.53125,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,3,countercyclical,0.5103618733579373,0.5103618733579373,0.4581852331158553,0.3443262358884624,0.06880096692010196,0.15523005119627045,-0.19981331582989992,0.53125,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,4,countercyclical,0.7655656913266973,0.7655656913266973,0.8787847085257794,0.43847365680406775,0.10491436881428706,0.14525557200070147,-0.23927177194402838,0.53125,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,0,procyclical,0.526869003203956,0.526869003203956,0.3677673011573257,0.2871670086933687,0.05814268872287798,0.12112501218369727,-0.20246994592948386,0.21875,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,1,procyclical,0.2433594723456588,0.2433594723456588,0.11854816915423863,0.10331095647878297,0.020091589941533705,0.10477737926617257,-0.19447685537264314,0.1875,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,2,procyclical,0.26558177402943317,0.26558177402943317,0.5721201131124659,0.1388499799515035,0.027003107469522947,0.1342717459139693,-0.19447685537264314,0.21875,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,3,procyclical,0.7846462986233254,0.7846462986233254,3.058929071794717,1.4974974153151241,0.07384393818614443,0.09698960426490846,-0.049311563032384376,0.21875,1.25,32,32,True
diff_1q,sloos_diff_1q,T_roll_p75,P1_long_cash,4,procyclical,0.40576169661904804,0.40576169661904804,0.16887581491771184,0.19923220620118148,0.038746052950959786,0.10874203181635508,-0.19447685537264314,0.21875,1.25,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,0,countercyclical,0.3007758063209885,0.3007758063209885,0.19456807890613856,0.09817443160953075,0.029794070441606424,0.12368608383446385,-0.3034809568351402,0.34375,0.875,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,1,countercyclical,0.5187223281540726,0.5187223281540726,0.4914160279822005,0.3214152274981717,0.06422304236463128,0.13871790759352012,-0.1998133158298998,0.375,0.875,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,2,countercyclical,0.4287036844063332,0.4287036844063332,0.39121739576934283,0.1951997121298519,0.046705781004273916,0.12507648651923448,-0.23927177194402838,0.375,0.75,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,3,countercyclical,0.39960277760327884,0.39960277760327884,0.3587535260079831,0.1790017155669011,0.04283005766471337,0.12464578793806938,-0.23927177194402827,0.375,0.75,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,4,countercyclical,0.5061511351558495,0.5061511351558495,0.42708445720352706,0.27405203142224127,0.05548729998392643,0.12197259644980284,-0.20246994592948397,0.40625,0.75,32,32,True
chg_4q,sloos_chg_4q,T0_zero,P1_long_cash,0,procyclical,0.8964925607263066,0.8964925607263066,0.8180824053780806,0.5656117024499766,0.11451937081213015,0.13176266853757523,-0.20246994592948397,0.40625,0.875,32,32,True
