signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,252,-0.5923,-0.144,-0.7722,32.18,1566,False
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,0,1.1305,0.1717,-0.2097,16.74,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,1,0.6181,0.0874,-0.2944,16.74,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,5,0.4716,0.064,-0.3557,16.74,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,21,0.6766,0.0952,-0.2411,16.74,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,63,0.2376,0.0276,-0.4233,15.61,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,126,0.6857,0.1087,-0.2018,16.25,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,252,0.2219,0.0246,-0.4233,15.93,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,0,0.8799,0.1854,-0.2888,33.47,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,1,0.2112,0.0223,-0.3888,33.47,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,5,0.0176,-0.0204,-0.5805,33.47,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,21,0.2693,0.0358,-0.4216,33.47,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,63,-0.2374,-0.0742,-0.5138,31.22,1566,False
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,126,0.4107,0.0688,-0.3258,32.51,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,252,-0.2572,-0.0783,-0.6301,31.86,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,0,0.8682,0.0463,-0.0591,8.37,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,1,0.1011,0.0041,-0.1456,8.37,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,5,0.2631,0.0137,-0.1096,8.37,1566,True
