signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,5,0.3485,2.62,-18.18,9.82,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,1,0.3466,2.78,-18.87,7.08,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,0,0.3112,2.18,-10.7,4.18,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,5,0.2631,1.37,-10.96,8.37,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,5,0.2175,2.22,-31.51,9.49,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,5,0.2151,1.04,-11.45,4.51,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,1,0.2112,2.23,-38.88,33.47,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,1,0.1643,1.19,-37.38,18.02,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,0,0.1603,1.1,-39.58,19.31,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,5,0.1188,0.18,-47.0,18.02,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,1,0.1011,0.41,-14.56,8.37,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,1,0.0965,0.45,-17.44,4.18,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,5,0.0954,-0.33,-46.25,43.45,1566,True
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,0,0.078,-0.75,-44.95,18.99,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,1,0.073,-0.84,-44.06,32.18,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,0,0.0478,-1.38,-43.46,20.6,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,5,0.0374,-1.61,-47.62,31.86,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,5,0.0176,-2.04,-58.05,33.47,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,1,0.0167,-2.06,-46.15,19.31,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,5,-0.0373,-0.64,-22.16,4.18,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,5,-0.0482,-3.45,-52.34,32.51,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,1,-0.0575,-3.66,-52.81,43.77,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,1,-0.0617,-3.75,-51.18,17.7,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,5,-0.0727,-3.98,-57.16,17.7,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,5,-0.0734,-3.99,-49.97,18.99,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,0,-0.1093,-4.75,-53.52,19.31,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,0,-0.1094,-4.76,-54.51,17.7,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,0,-0.1146,-4.86,-52.89,7.08,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,5,-0.1574,-5.76,-54.72,21.24,1566,False
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,1,-0.1577,-5.79,-46.73,18.99,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,0,-0.1805,-6.24,-56.97,14.16,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,1,-0.206,-6.77,-58.45,7.08,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,1,-0.2112,-6.88,-58.28,20.6,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,1,-0.2321,-7.31,-62.14,32.83,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,0,-0.2329,-7.33,-59.96,16.74,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,5,-0.2696,-8.07,-61.93,7.08,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,5,-0.3299,-9.29,-64.97,14.16,1566,False
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,5,-0.3396,-9.5,-51.32,18.99,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,0,-0.3424,-9.54,-65.56,9.01,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,1,-0.3526,-9.75,-66.15,19.31,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,1,-0.37,-10.09,-66.84,14.16,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,5,-0.3898,-10.49,-68.25,19.63,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,1,-0.411,-10.91,-68.66,9.01,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,0,-0.4318,-11.32,-69.54,8.37,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,5,-0.517,-12.97,-72.91,16.74,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,5,-0.5486,-13.58,-74.06,9.01,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,1,-0.5865,-14.3,-75.38,8.37,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,1,-0.6046,-14.64,-75.98,16.74,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,5,-0.6836,-16.12,-78.45,8.37,1566,False
BENCHMARK,,,,,0.6558,12.81,-42.33,0.0,1566,False
