change_date,from_pct,to_pct,delta_pct,side,price,signal_value,threshold,cum_pnl_pct
2002-11-13,0.0,100.0,100.0,BUY,13.0157,-0.1334,-0.0334,18.647
2002-12-12,100.0,0.0,-100.0,SELL,13.4868,0.103,-0.0334,23.1674
2003-02-12,0.0,100.0,100.0,BUY,12.205,-0.2771,-0.0334,22.1284
2003-02-13,100.0,0.0,-100.0,SELL,12.0493,0.682,-0.0334,21.0982
2003-02-21,0.0,100.0,100.0,BUY,12.6527,-0.5659,-0.0334,22.9904
2003-03-05,100.0,0.0,-100.0,SELL,12.2634,0.0461,-0.0334,20.1078
2003-03-07,0.0,100.0,100.0,BUY,12.218,-0.2942,-0.0334,20.5561
2003-03-10,100.0,0.0,-100.0,SELL,11.9065,0.3849,-0.0334,21.0059
2003-03-11,0.0,100.0,100.0,BUY,11.6859,-0.167,-0.0334,18.7638
2003-03-31,100.0,0.0,-100.0,SELL,12.5773,0.6016,-0.0334,27.4687
2003-04-04,0.0,100.0,100.0,BUY,13.0593,-0.2146,-0.0334,27.7874
2003-04-10,100.0,0.0,-100.0,SELL,12.9681,-0.0029,-0.0334,27.0206
2003-04-11,0.0,100.0,100.0,BUY,12.9877,-0.2738,-0.0334,27.212
2003-04-21,100.0,0.0,-100.0,SELL,13.2352,0.0254,-0.0334,30.9817
2003-06-02,0.0,100.0,100.0,BUY,14.4597,-0.0732,-0.0334,32.2927
2003-06-03,100.0,0.0,-100.0,SELL,14.4792,0.0726,-0.0334,33.6169
2003-06-06,0.0,100.0,100.0,BUY,14.8309,-0.0452,-0.0334,34.7411
2003-06-09,100.0,0.0,-100.0,SELL,14.6355,0.2717,-0.0334,35.8749
2003-06-10,0.0,100.0,100.0,BUY,14.7137,-0.4003,-0.0334,36.6006
2003-06-13,100.0,0.0,-100.0,SELL,14.8831,0.1749,-0.0334,40.4305
2003-06-18,0.0,100.0,100.0,BUY,15.1696,-0.3861,-0.0334,39.7107
2003-07-01,100.0,0.0,-100.0,SELL,14.648,0.5385,-0.0334,33.9163
2003-07-07,0.0,100.0,100.0,BUY,14.87,-0.6859,-0.0334,35.7035
2003-07-23,100.0,0.0,-100.0,SELL,14.8243,0.1292,-0.0334,37.5146
2003-07-24,0.0,100.0,100.0,BUY,14.8243,-0.1423,-0.0334,37.5146
2003-08-13,100.0,0.0,-100.0,SELL,15.0528,0.041,-0.0334,40.1182
2003-08-18,0.0,100.0,100.0,BUY,15.6011,-0.4219,-0.0334,42.2007
2003-08-26,100.0,0.0,-100.0,SELL,15.5815,0.2684,-0.0334,43.2876
2003-09-03,0.0,100.0,100.0,BUY,16.045,-0.278,-0.0334,44.4631
2003-09-04,100.0,0.0,-100.0,SELL,16.0319,0.0763,-0.0334,45.6482
2003-09-05,0.0,100.0,100.0,BUY,15.8557,-0.0579,-0.0334,44.0471
2003-09-09,100.0,0.0,-100.0,SELL,15.7643,0.8367,-0.0334,43.1674
2003-09-18,0.0,100.0,100.0,BUY,16.0515,-0.1372,-0.0334,44.876
2003-09-19,100.0,0.0,-100.0,SELL,15.984,0.2753,-0.0334,46.605
2003-10-03,0.0,100.0,100.0,BUY,15.7875,-1.3834,-0.0334,48.0795
2004-06-14,100.0,0.0,-100.0,SELL,18.2191,0.0019,-0.0334,73.5441
2004-06-15,0.0,100.0,100.0,BUY,18.3842,-0.1934,-0.0334,75.1173
2004-06-18,100.0,0.0,-100.0,SELL,18.5482,0.0483,-0.0334,77.276
2004-07-06,0.0,100.0,100.0,BUY,18.4887,-0.0505,-0.0334,76.8962
2004-07-08,100.0,0.0,-100.0,SELL,18.4159,0.209,-0.0334,76.8331
2004-07-09,0.0,100.0,100.0,BUY,18.5681,-0.1742,-0.0334,78.2951
2004-07-27,100.0,0.0,-100.0,SELL,18.3364,0.0624,-0.0334,75.7316
2004-07-28,0.0,100.0,100.0,BUY,18.4489,-0.792,-0.0334,76.8101
2004-08-09,100.0,0.0,-100.0,SELL,17.7208,0.7247,-0.0334,70.4911
2004-08-11,0.0,100.0,100.0,BUY,17.9988,-0.3708,-0.0334,70.3031
2004-08-18,100.0,0.0,-100.0,SELL,18.3033,0.3296,-0.0334,70.3031
2004-09-07,0.0,100.0,100.0,BUY,18.7998,-0.4528,-0.0334,71.5717
2004-09-08,100.0,0.0,-100.0,SELL,18.7667,0.1181,-0.0334,72.8498
2004-09-09,0.0,100.0,100.0,BUY,18.7204,-0.1821,-0.0334,72.423
2004-09-14,100.0,0.0,-100.0,SELL,18.8395,0.0571,-0.0334,72.6662
2004-09-16,0.0,100.0,100.0,BUY,18.7865,-0.6144,-0.0334,73.7682
2004-10-13,100.0,0.0,-100.0,SELL,18.6398,0.41,-0.0334,75.5513
2004-11-05,0.0,100.0,100.0,BUY,19.8089,-0.098,-0.0334,76.9158
2004-12-03,100.0,0.0,-100.0,SELL,20.5197,0.2901,-0.0334,84.6286
2004-12-10,0.0,100.0,100.0,BUY,20.4931,-0.3847,-0.0334,85.2892
2005-03-11,100.0,0.0,-100.0,SELL,20.7099,0.0086,-0.0334,88.4039
2005-03-14,0.0,100.0,100.0,BUY,20.8234,-0.1609,-0.0334,89.4364
2005-04-27,100.0,0.0,-100.0,SELL,19.6301,0.022,-0.0334,79.3142
2005-04-29,0.0,100.0,100.0,BUY,19.6435,-0.5312,-0.0334,81.418
2005-05-05,100.0,0.0,-100.0,SELL,19.7373,-0.008,-0.0334,85.3619
2005-05-06,0.0,100.0,100.0,BUY,19.8177,-0.5761,-0.0334,86.1169
2005-05-13,100.0,0.0,-100.0,SELL,19.543,0.1367,-0.0334,85.2323
2005-05-17,0.0,100.0,100.0,BUY,19.9517,-0.1296,-0.0334,86.4846
2005-09-15,100.0,0.0,-100.0,SELL,20.1625,0.0449,-0.0334,89.9827
2005-09-19,0.0,100.0,100.0,BUY,20.0331,-0.153,-0.0334,87.4587
2006-01-06,100.0,0.0,-100.0,SELL,21.5576,0.2783,-0.0334,98.2931
2006-01-27,0.0,100.0,100.0,BUY,21.4491,-0.3436,-0.0334,98.733
2006-01-30,100.0,0.0,-100.0,SELL,21.4966,0.5524,-0.0334,99.174
2006-02-03,0.0,100.0,100.0,BUY,21.327,-0.1801,-0.0334,98.7315
2006-02-10,100.0,0.0,-100.0,SELL,21.6119,0.0763,-0.0334,99.6145
2006-02-13,0.0,100.0,100.0,BUY,21.639,-0.4898,-0.0334,99.8651
2006-02-15,100.0,0.0,-100.0,SELL,21.9578,-0.0107,-0.0334,102.4999
2006-02-16,0.0,100.0,100.0,BUY,22.0189,-0.1806,-0.0334,103.063
2006-02-17,100.0,0.0,-100.0,SELL,22.0732,0.3563,-0.0334,103.6276
2006-02-21,0.0,100.0,100.0,BUY,21.985,-0.2859,-0.0334,102.8141
2006-02-23,100.0,0.0,-100.0,SELL,22.141,0.219,-0.0334,104.123
2006-03-10,0.0,100.0,100.0,BUY,22.2834,-0.1481,-0.0334,106.2578
2006-03-15,100.0,0.0,-100.0,SELL,22.8193,0.1411,-0.0334,110.2549
2006-03-17,0.0,100.0,100.0,BUY,23.0072,-1.1641,-0.0334,111.86
2006-10-26,100.0,0.0,-100.0,SELL,23.6505,0.2596,-0.0334,119.5097
2007-03-23,0.0,100.0,100.0,BUY,25.1814,-0.0958,-0.0334,120.7849
2007-03-27,100.0,0.0,-100.0,SELL,24.8559,-0.0198,-0.0334,120.2353
2007-03-29,0.0,100.0,100.0,BUY,24.6481,-0.1084,-0.0334,120.1735
2007-08-16,100.0,0.0,-100.0,SELL,26.1211,0.4782,-0.0334,133.1418
