date,p_state0,p_state1,viterbi_state,p_stress
2004-07-22,1.5493916360398666e-05,0.9999845060836312,1,0.9999845060836312
2004-07-23,2.6359421632516223e-05,0.9999736405783591,1,0.9999736405783591
2004-07-26,2.8210634764358673e-05,0.9999717893652276,1,0.9999717893652276
2004-07-27,4.027262665644395e-05,0.9999597273733355,1,0.9999597273733355
2004-07-28,1.7045720602406803e-05,0.9999829542793895,1,0.9999829542793895
2004-07-29,8.016099014685342e-06,0.9999919839009772,1,0.9999919839009772
2004-07-30,7.542776532248397e-06,0.9999924572234598,1,0.9999924572234598
2004-08-02,8.479657806717793e-06,0.9999915203421852,1,0.9999915203421852
2004-08-03,1.1257505940172243e-05,0.9999887424940517,1,0.9999887424940517
2004-08-04,1.3021687894182257e-05,0.9999869783120975,1,0.9999869783120975
2004-08-05,2.1144271868831985e-05,0.9999788557281228,1,0.9999788557281228
2004-08-06,4.7699339890195584e-05,0.9999523006601015,1,0.9999523006601015
2004-08-09,0.00010373025043521193,0.9998962697495565,1,0.9998962697495565
2004-08-10,8.224265691391655e-05,0.9999177573430776,1,0.9999177573430776
2004-08-11,4.4738588927574884e-05,0.9999552614110638,1,0.9999552614110638
2004-08-12,3.917088137775106e-05,0.9999608291186136,1,0.9999608291186136
2004-08-13,1.9162636887551273e-05,0.9999808373631038,1,0.9999808373631038
2004-08-16,2.7499169543401998e-05,0.999972500830448,1,0.999972500830448
2004-08-17,4.889877643615652e-05,0.9999511012235552,1,0.9999511012235552
2004-08-18,0.0001272144186743897,0.9998727855813169,1,0.9998727855813169
2004-08-19,0.00020690363007522586,0.999793096369916,1,0.999793096369916
2004-08-20,0.0005171514753442753,0.9994828485246471,1,0.9994828485246471
2004-08-23,0.0008077068475157352,0.9991922931524756,1,0.9991922931524756
2004-08-24,0.000859511697181236,0.9991404883028099,1,0.9991404883028099
2004-08-25,0.0009348393994024667,0.9990651606005886,1,0.9990651606005886
2004-08-26,0.0008164895497601017,0.9991835104502309,1,0.9991835104502309
2004-08-27,0.0006307616987529674,0.999369238301238,1,0.999369238301238
2004-08-30,0.0006165168890569726,0.9993834831109342,1,0.9993834831109342
2004-08-31,0.0005736256813651305,0.9994263743186259,1,0.9994263743186259
2004-09-01,0.0006113818384730525,0.9993886181615179,1,0.9993886181615179
2004-09-02,0.0007163207829787062,0.9992836792170123,1,0.9992836792170123
2004-09-03,0.0006479871422205793,0.9993520128577704,1,0.9993520128577704
2004-09-06,0.0005117807244352631,0.9994882192755558,1,0.9994882192755558
2004-09-07,0.0002684630469078432,0.9997315369530833,1,0.9997315369530833
2004-09-08,0.0002578007016720873,0.9997421992983191,1,0.9997421992983191
2004-09-09,0.00021582699850765562,0.9997841730014835,1,0.9997841730014835
2004-09-10,0.00019797263986466145,0.9998020273601266,1,0.9998020273601266
2004-09-13,0.00022494931455122941,0.99977505068544,1,0.99977505068544
2004-09-14,0.0002866276747585889,0.9997133723252326,1,0.9997133723252326
2004-09-15,0.00029853713749025256,0.999701462862501,1,0.999701462862501
2004-09-16,0.00017608550953297279,0.9998239144904583,1,0.9998239144904583
2004-09-17,0.00012560046872946764,0.9998743995312617,1,0.9998743995312617
2004-09-20,7.185499769960711e-05,0.9999281450022915,1,0.9999281450022915
2004-09-21,4.2594450955738645e-05,0.9999574055490354,1,0.9999574055490354
2004-09-22,1.4365437948967978e-05,0.9999856345620421,1,0.9999856345620421
2004-09-23,2.43331282336328e-05,0.9999756668717574,1,0.9999756668717574
2004-09-24,2.3203061929270917e-05,0.999976796938062,1,0.999976796938062
2004-09-27,1.475118676977458e-05,0.9999852488132216,1,0.9999852488132216
2004-09-28,2.3430679271766332e-05,0.9999765693207197,1,0.9999765693207197
2004-09-29,1.8523402557913967e-05,0.9999814765974336,1,0.9999814765974336
2004-09-30,2.5242888612258815e-05,0.9999747571113793,1,0.9999747571113793
2004-10-01,2.3123750407924488e-05,0.9999768762495836,1,0.9999768762495836
2004-10-04,1.8107932005523425e-05,0.9999818920679859,1,0.9999818920679859
2004-10-05,2.2682348427858757e-05,0.9999773176515636,1,0.9999773176515636
2004-10-06,1.4137945922458353e-05,0.999985862054069,1,0.999985862054069
2004-10-07,1.1681459486099995e-05,0.9999883185405054,1,0.9999883185405054
2004-10-08,1.2600014689951544e-05,0.9999873999853016,1,0.9999873999853016
2004-10-11,0.0002114512754941031,0.9997885487244975,1,0.9997885487244975
2004-10-12,0.007168206414954806,0.9928317935850368,1,0.9928317935850368
2004-10-13,0.2673068398419708,0.7326931601580208,1,0.7326931601580208
2004-10-14,0.5007176608884083,0.4992823391115833,0,0.4992823391115833
2004-10-15,0.6239937525044013,0.3760062474955903,0,0.3760062474955903
2004-10-18,0.7424945422400977,0.2575054577598938,0,0.2575054577598938
2004-10-19,0.8251701140484358,0.17482988595155552,0,0.17482988595155552
2004-10-20,0.8811917555814524,0.11880824441853903,0,0.11880824441853903
2004-10-21,0.914590848881596,0.08540915111839541,0,0.08540915111839541
2004-10-22,0.9374733457364762,0.0625266542635154,0,0.0625266542635154
2004-10-25,0.9505168926502647,0.04948310734972689,0,0.04948310734972689
2004-10-26,0.9535658411635368,0.04643415883645477,0,0.04643415883645477
2004-10-27,0.951266689960456,0.04873331003953558,0,0.04873331003953558
2004-10-28,0.9428327064081536,0.057167293591838114,0,0.057167293591838114
2004-10-29,0.9125850266531553,0.08741497334683633,0,0.08741497334683633
2004-11-01,0.8761470063318859,0.12385299366810576,0,0.12385299366810576
2004-11-02,0.8048503570268839,0.19514964297310797,0,0.19514964297310797
2004-11-03,0.7290796869806492,0.2709203130193426,0,0.2709203130193426
2004-11-04,0.6402045733882149,0.35979542661177666,0,0.35979542661177666
2004-11-05,0.540837239234573,0.4591627607654184,0,0.4591627607654184
2004-11-08,0.4406966554211114,0.55930334457888,1,0.55930334457888
2004-11-09,0.3446319222895875,0.6553680777104038,1,0.6553680777104038
2004-11-10,0.25066322678089675,0.7493367732190944,1,0.7493367732190944
2004-11-11,0.1567696540150262,0.8432303459849648,1,0.8432303459849648
2004-11-12,0.07382640244359143,0.9261735975563997,1,0.9261735975563997
2004-11-15,0.03326283689012064,0.9667371631098703,1,0.9667371631098703
2004-11-16,0.018500384352314526,0.9814996156476766,1,0.9814996156476766
2004-11-17,0.007255644573260158,0.9927443554267311,1,0.9927443554267311
2004-11-18,0.002202772433248058,0.9977972275667433,1,0.9977972275667433
2004-11-19,0.0012532752777310965,0.9987467247222604,1,0.9987467247222604
2004-11-22,0.0013895072277980533,0.9986104927721935,1,0.9986104927721935
2004-11-23,0.0016838051070452152,0.9983161948929462,1,0.9983161948929462
2004-11-24,0.0026466598911007557,0.9973533401088909,1,0.9973533401088909
2004-11-25,0.006534222146825598,0.993465777853166,1,0.993465777853166
2004-11-26,0.020260415808543097,0.9797395841914486,1,0.9797395841914486
2004-11-29,0.06791325360614912,0.9320867463938425,1,0.9320867463938425
2004-11-30,0.10262135960307783,0.8973786403969138,1,0.8973786403969138
2004-12-01,0.13064028244755088,0.8693597175524408,1,0.8693597175524408
2004-12-02,0.1638992798202061,0.8361007201797854,1,0.8361007201797854
2004-12-03,0.18763761674322033,0.8123623832567711,1,0.8123623832567711
2004-12-06,0.1970849450850278,0.8029150549149636,1,0.8029150549149636
2004-12-07,0.1981467857976789,0.8018532142023126,1,0.8018532142023126
2004-12-08,0.1862507457339586,0.813749254266033,1,0.813749254266033
2004-12-09,0.15601660544118603,0.8439833945588056,1,0.8439833945588056
2004-12-10,0.0962430413757195,0.9037569586242722,1,0.9037569586242722
2004-12-13,0.03968287112517439,0.9603171288748171,1,0.9603171288748171
2004-12-14,0.009937532450358095,0.9900624675496333,1,0.9900624675496333
2004-12-15,0.0020364504001599225,0.9979635495998315,1,0.9979635495998315
2004-12-16,0.0002634645174087883,0.9997365354825826,1,0.9997365354825826
