signal,threshold,strategy,signal_column,lead_days,oos_sharpe,oos_max_drawdown,valid,lead_source
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,63,0.3296,-0.4233,True,pipeline
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,126,0.5816,-0.1593,True,pipeline
gold_copper_roc_63d,T2_p50,P2_long_short,gold_copper_roc_63d,0,0.6466,-0.3599,True,pipeline
gold_copper_roc_63d,T2_p50,P2_long_short,gold_copper_roc_63d,5,0.0954,-0.4625,True,pipeline
gold_copper_roc_63d,T2_p50,P2_long_short,gold_copper_roc_63d,21,0.4112,-0.3958,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,0,0.9249,-0.2467,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,1,0.6024,-0.2593,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,5,0.562,-0.2129,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,21,0.7335,-0.1849,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,63,0.3128,-0.4233,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,126,0.7865,-0.198,True,pipeline
gold_copper_roc_63d,T3_p75,P1_long_cash,gold_copper_roc_63d,252,0.294,-0.4233,True,pipeline
gold_copper_roc_63d,T3_p75,P2_long_short,gold_copper_roc_63d,0,0.5693,-0.327,True,pipeline
gold_copper_roc_63d,T3_p75,P2_long_short,gold_copper_roc_63d,1,0.1643,-0.3738,True,pipeline
gold_copper_roc_63d,T3_p75,P2_long_short,gold_copper_roc_63d,5,0.1188,-0.47,True,pipeline
gold_copper_roc_63d,T3_p75,P2_long_short,gold_copper_roc_63d,21,0.3532,-0.3958,True,pipeline
gold_copper_roc_63d,T3_p75,P2_long_short,gold_copper_roc_63d,126,0.4142,-0.3491,True,pipeline
