horizon,specification,variable,coef,se,t_stat,p_value,ci_lower,ci_upper,n_obs,r_squared
5,state_dependent,stress,0.0020742336246008714,0.01278208627545793,0.16227660961602766,0.8710880333515092,-0.02297819512258039,0.027126662371782136,494,0.09392576864420643
10,base,hy_ig_spread_chg,-0.013198503249830587,0.017583118100553023,-0.7506349655591217,0.45287237202873776,-0.04766078146282884,0.021263774963167663,489,0.13280521766556852
10,base,vix,0.002100957868253607,0.000504972185331906,4.1605417670137586,3.174935446282226e-05,0.001111230571808586,0.003090685164698628,489,0.13280521766556852
10,base,yield_spread_10y3m,-0.007328829043696197,0.003942666958154715,-1.8588506514702692,0.06304831059765627,-0.015056314284715527,0.00039865619732313336,489,0.13280521766556852
10,state_dependent,hy_ig_spread_chg,-0.012514717337739156,0.02223832101077867,-0.5627545951726036,0.5736020023203643,-0.05610102559550573,0.03107159092002741,489,0.14693724209745174
10,state_dependent,spread_chg_x_stress,-0.002629974507264322,0.04701416419054806,-0.05594004599560793,0.9553895686687536,-0.09477604308399122,0.08951609406946258,489,0.14693724209745174
10,state_dependent,stress,0.02006174774775999,0.01130225115801162,1.7750222913369949,0.07589420659213052,-0.0020902574661689037,0.04221375296168889,489,0.14693724209745174
21,base,hy_ig_spread_chg,-0.026142894673516753,0.022112269012522827,-1.182280057225754,0.23709459592652615,-0.06948214555452256,0.017196356207489053,478,0.18716283983955406
21,base,vix,0.003345515797343876,0.0007146062293604699,4.681621373966911,2.8461480125212783e-06,0.001944913324669386,0.004746118270018366,478,0.18716283983955406
21,base,yield_spread_10y3m,-0.01302887516962675,0.005140375570498569,-2.534615416897071,0.011257083684838904,-0.023103826154813482,-0.0029539241844400207,478,0.18716283983955406
21,state_dependent,hy_ig_spread_chg,-0.03475052698111544,0.026881499165058782,-1.2927302442374573,0.19610437359944544,-0.08743729719507419,0.017936243232843305,478,0.23729735086503545
21,state_dependent,spread_chg_x_stress,0.021755750556236842,0.03955828237522519,0.549967017017457,0.582341996404251,-0.055777058189470125,0.0992885593019438,478,0.23729735086503545
21,state_dependent,stress,0.049911829901375264,0.01852573512994275,2.6941888972979995,0.007056016289932336,0.013602056259559014,0.08622160354319151,478,0.23729735086503545
42,base,hy_ig_spread_chg,-0.03311059721379562,0.02324949020369764,-1.424142934907435,0.15440509990842013,-0.07867876067195981,0.012457566244368563,457,0.31592185078086166
42,base,vix,0.0057413006671962795,0.0007147978913828495,8.032061560910801,9.584825232080018e-16,0.004340322543860721,0.007142278790531838,457,0.31592185078086166
42,base,yield_spread_10y3m,-0.028231967101370475,0.008506823657551088,-3.3187436624844513,0.000904233944037425,-0.044905035093003906,-0.011558899109737047,457,0.31592185078086166
42,state_dependent,hy_ig_spread_chg,-0.030561583778573174,0.032318172253597344,-0.9456470353199308,0.3443286454079113,-0.09390403744178563,0.03278086988463929,457,0.3291126419749252
42,state_dependent,spread_chg_x_stress,-0.00855930007677137,0.04986081829571154,-0.17166385088203703,0.8637018066873057,-0.1062847081760618,0.08916610802251905,457,0.3291126419749252
42,state_dependent,stress,0.03557370524154679,0.013608647940070842,2.6140514030640434,0.008947557377881703,0.008901245400722742,0.06224616508237083,457,0.3291126419749252
63,base,hy_ig_spread_chg,-0.028984787449687882,0.029248124703645562,-0.9909964397161894,0.3216873187461493,-0.08631005848416942,0.028340483584793665,436,0.39871043844824006
63,base,vix,0.00719763219528043,0.000911792122421858,7.8939398776142395,2.9279325676309676e-15,0.005410552473946252,0.008984711916614607,436,0.39871043844824006
63,base,yield_spread_10y3m,-0.0406086941894385,0.010595035346623363,-3.832804031407077,0.00012669087565950337,-0.06137458188374914,-0.01984280649512786,436,0.39871043844824006
63,state_dependent,hy_ig_spread_chg,-0.0026262884422620517,0.041870320710110605,-0.0627243450186392,0.9499860110397899,-0.08469060905522038,0.07943803217069628,436,0.4160237274191684
63,state_dependent,spread_chg_x_stress,-0.07025499434796899,0.07280537286508476,-0.9649699133902951,0.3345598815546902,-0.21295090304454484,0.07244091434860687,436,0.4160237274191684
63,state_dependent,stress,0.045512225137489676,0.016721968542044788,2.721702592793203,0.006494656249372131,0.012737769044470132,0.07828668123050922,436,0.4160237274191684
