signal,threshold,strategy,lead_days,lookback,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n_obs,oos_n_trades
S1_spread_level,T1_p40,P3,3,LB24,-0.1202,-0.017217,-0.347283,0.5211,23,0.78,False,71,23
S1_spread_level,T1_p50,P1,3,LB24,0.6406,0.086151,-0.20518,0.6056,19,0.64,True,71,19
S1_spread_level,T1_p50,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p50,P3,3,LB24,0.5162,0.073085,-0.20518,0.662,19,0.64,True,71,19
S1_spread_level,T1_p60,P1,3,LB24,0.6575,0.08901,-0.20518,0.6197,27,0.92,True,71,27
S1_spread_level,T1_p60,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p60,P3,3,LB24,0.558,0.078803,-0.20518,0.6479,27,0.92,True,71,27
S1_spread_level,T1_p70,P1,3,LB24,0.6356,0.086267,-0.20518,0.6479,23,0.78,True,71,23
S1_spread_level,T1_p70,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p70,P3,3,LB24,0.5179,0.073316,-0.20518,0.662,23,0.78,True,71,23
S1_spread_level,T1_p75,P1,3,LB24,0.6353,0.088807,-0.20518,0.662,17,0.58,True,71,17
S1_spread_level,T1_p75,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p75,P3,3,LB24,0.5549,0.078397,-0.20518,0.662,17,0.58,True,71,17
S1_spread_level,T1_p80,P1,3,LB24,0.6811,0.095526,-0.20518,0.6901,13,0.44,True,71,13
S1_spread_level,T1_p80,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p80,P3,3,LB24,0.653,0.091835,-0.20518,0.6901,13,0.44,True,71,13
S1_spread_level,T1_p85,P1,3,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T1_p85,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T1_p85,P3,3,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T3_z0.0,P1,3,LB24,0.8608,0.079817,-0.141686,0.3803,32,1.08,True,71,32
S1_spread_level,T3_z0.0,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T3_z0.0,P3,3,LB24,0.4265,0.060417,-0.272209,0.5634,32,1.08,True,71,32
S1_spread_level,T3_z0.5,P1,3,LB24,0.9455,0.095038,-0.141686,0.4366,45,1.53,True,71,45
S1_spread_level,T3_z0.5,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T3_z0.5,P3,3,LB24,0.6482,0.090859,-0.169392,0.5634,45,1.53,True,71,45
S1_spread_level,T3_z1.0,P1,3,LB24,0.4867,0.061953,-0.20518,0.5211,37,1.25,True,71,37
S1_spread_level,T3_z1.0,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T3_z1.0,P3,3,LB24,0.1726,0.024689,-0.291613,0.5775,37,1.25,True,71,37
S1_spread_level,T3_z1.5,P1,3,LB24,0.5098,0.068558,-0.20518,0.5493,35,1.19,True,71,35
S1_spread_level,T3_z1.5,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T3_z1.5,P3,3,LB24,0.2655,0.037898,-0.243977,0.5915,35,1.19,True,71,35
S1_spread_level,T3_z2.0,P1,3,LB24,0.6144,0.083032,-0.20518,0.6197,27,0.92,True,71,27
S1_spread_level,T3_z2.0,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
S1_spread_level,T3_z2.0,P3,3,LB24,0.4716,0.066847,-0.20518,0.6479,27,0.92,True,71,27
S2a_zscore_12m,T1_p40,P1,0,LB24,0.5371,0.028069,-0.07341,0.2676,59,2.0,True,71,59
S2a_zscore_12m,T1_p40,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p40,P3,0,LB24,-0.3015,-0.043079,-0.282114,0.4789,59,2.0,False,71,59
S2a_zscore_12m,T1_p50,P1,0,LB24,0.5371,0.028069,-0.07341,0.2676,51,1.73,True,71,51
S2a_zscore_12m,T1_p50,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p50,P3,0,LB24,-0.3015,-0.043079,-0.282114,0.4789,51,1.73,False,71,51
S2a_zscore_12m,T1_p60,P1,0,LB24,0.4353,0.028172,-0.150053,0.3521,59,2.0,True,71,59
S2a_zscore_12m,T1_p60,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p60,P3,0,LB24,-0.2995,-0.042874,-0.340996,0.507,59,2.0,False,71,59
S2a_zscore_12m,T1_p70,P1,0,LB24,0.9294,0.06834,-0.085738,0.4789,47,1.59,True,71,47
S2a_zscore_12m,T1_p70,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p70,P3,0,LB24,0.2616,0.037462,-0.184877,0.6197,47,1.59,True,71,47
S2a_zscore_12m,T1_p75,P1,0,LB24,0.6631,0.0544,-0.085738,0.4789,45,1.53,True,71,45
S2a_zscore_12m,T1_p75,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p75,P3,0,LB24,0.0667,0.009583,-0.225546,0.6056,45,1.53,True,71,45
S2a_zscore_12m,T1_p80,P1,0,LB24,0.8455,0.070117,-0.083804,0.5634,35,1.19,True,71,35
S2a_zscore_12m,T1_p80,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p80,P3,0,LB24,0.2865,0.041017,-0.176578,0.6901,35,1.19,True,71,35
S2a_zscore_12m,T1_p85,P1,0,LB24,1.0295,0.089486,-0.083804,0.6197,35,1.19,True,71,35
S2a_zscore_12m,T1_p85,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T1_p85,P3,0,LB24,0.5627,0.079755,-0.161406,0.7465,35,1.19,True,71,35
S2a_zscore_12m,T3_z0.0,P1,0,LB24,0.7879,0.04349,-0.072572,0.3239,61,2.07,True,71,61
S2a_zscore_12m,T3_z0.0,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T3_z0.0,P3,0,LB24,-0.0854,-0.012238,-0.26152,0.5352,61,2.07,False,71,61
S2a_zscore_12m,T3_z0.5,P1,0,LB24,0.7206,0.048439,-0.121807,0.4507,55,1.86,True,71,55
S2a_zscore_12m,T3_z0.5,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T3_z0.5,P3,0,LB24,-0.0163,-0.00234,-0.270293,0.6056,55,1.86,False,71,55
S2a_zscore_12m,T3_z1.0,P1,0,LB24,0.6734,0.059343,-0.085738,0.5493,37,1.25,True,71,37
S2a_zscore_12m,T3_z1.0,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T3_z1.0,P3,0,LB24,0.1355,0.019468,-0.212515,0.6479,37,1.25,True,71,37
S2a_zscore_12m,T3_z1.5,P1,0,LB24,0.6718,0.066626,-0.153384,0.5915,35,1.19,True,71,35
S2a_zscore_12m,T3_z1.5,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T3_z1.5,P3,0,LB24,0.2371,0.034034,-0.280307,0.6479,35,1.19,True,71,35
S2a_zscore_12m,T3_z2.0,P1,0,LB24,0.6784,0.087664,-0.20518,0.6338,23,0.78,True,71,23
S2a_zscore_12m,T3_z2.0,P2,0,LB24,0.7757,0.046169,-0.068198,0.6338,230,8.17,True,71,230
S2a_zscore_12m,T3_z2.0,P3,0,LB24,0.5372,0.076111,-0.20518,0.6761,23,0.78,True,71,23
S2a_zscore_12m,T1_p40,P1,1,LB24,0.4518,0.028103,-0.133853,0.2958,61,2.07,True,71,61
S2a_zscore_12m,T1_p40,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p40,P3,1,LB24,-0.3016,-0.04301,-0.35457,0.507,61,2.07,False,71,61
S2a_zscore_12m,T1_p50,P1,1,LB24,0.4518,0.028103,-0.133853,0.2958,51,1.73,True,71,51
S2a_zscore_12m,T1_p50,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p50,P3,1,LB24,-0.3016,-0.04301,-0.35457,0.507,51,1.73,False,71,51
S2a_zscore_12m,T1_p60,P1,1,LB24,0.9748,0.072078,-0.083804,0.4085,59,2.0,True,71,59
S2a_zscore_12m,T1_p60,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p60,P3,1,LB24,0.3158,0.044938,-0.210729,0.6197,59,2.0,True,71,59
S2a_zscore_12m,T1_p70,P1,1,LB24,0.7881,0.067149,-0.083346,0.493,47,1.59,True,71,47
S2a_zscore_12m,T1_p70,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p70,P3,1,LB24,0.2456,0.035081,-0.175283,0.6338,47,1.59,True,71,47
S2a_zscore_12m,T1_p75,P1,1,LB24,0.4347,0.044605,-0.205638,0.493,45,1.53,True,71,45
S2a_zscore_12m,T1_p75,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p75,P3,1,LB24,-0.0699,-0.010007,-0.361867,0.6197,45,1.53,False,71,45
S2a_zscore_12m,T1_p80,P1,1,LB24,0.2703,0.030838,-0.216651,0.5493,35,1.19,True,71,35
S2a_zscore_12m,T1_p80,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p80,P3,1,LB24,-0.2625,-0.03754,-0.432905,0.6479,35,1.19,False,71,35
S2a_zscore_12m,T1_p85,P1,1,LB24,0.2596,0.029745,-0.206035,0.5634,35,1.19,True,71,35
S2a_zscore_12m,T1_p85,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T1_p85,P3,1,LB24,-0.2776,-0.039727,-0.415079,0.6338,35,1.19,False,71,35
S2a_zscore_12m,T3_z0.0,P1,1,LB24,0.6016,0.038576,-0.103936,0.3521,61,2.07,True,71,61
S2a_zscore_12m,T3_z0.0,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T3_z0.0,P3,1,LB24,-0.1542,-0.022066,-0.33267,0.5634,61,2.07,False,71,61
S2a_zscore_12m,T3_z0.5,P1,1,LB24,1.1084,0.085473,-0.083346,0.493,55,1.86,True,71,55
