signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
yoy,T3_zscore_1.5,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T3_zscore_1.5,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T3_zscore_1.5,P3_long_short_pro,3,LB36,-0.5554,-0.6038,-1.1262,-0.1564,-0.1019,0.1687,-0.6516,0.35,2,0.24,100,False
yoy,T3_zscore_1.5,P3_long_short_counter,3,LB36,0.5554,0.6038,0.9166,0.4258,0.1019,0.1687,-0.2393,0.65,2,0.24,100,True
yoy,T3_zscore_neg_1.5,P1_long_cash_pro,3,LB36,0.2655,0.1588,0.1103,0.1343,0.0063,0.0394,-0.0466,0.04,3,0.36,100,False
yoy,T3_zscore_neg_1.5,P1_long_cash_counter,3,LB36,0.6849,0.8785,1.2937,0.5931,0.1419,0.1615,-0.2393,0.63,3,0.36,100,True
yoy,T3_zscore_neg_1.5,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T3_zscore_neg_1.5,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T3_zscore_neg_1.5,P3_long_short_pro,3,LB36,-0.464,-0.8136,-1.4215,-0.1928,-0.1356,0.1667,-0.7036,0.33,3,0.36,100,False
yoy,T3_zscore_neg_1.5,P3_long_short_counter,3,LB36,0.464,0.8136,1.293,0.4157,0.1356,0.1667,-0.3263,0.67,3,0.36,100,True
yoy,T2_roll_p25,P1_long_cash_pro,3,LB60,0.4599,0.7911,1.0798,0.7346,0.0994,0.1257,-0.1353,0.38,9,1.08,100,True
yoy,T2_roll_p25,P1_long_cash_counter,3,LB60,0.5886,0.4357,0.3939,0.244,0.0488,0.1119,-0.1998,0.29,9,1.08,100,True
yoy,T2_roll_p25,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T2_roll_p25,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T2_roll_p25,P3_long_short_pro,3,LB60,0.0037,0.2967,0.5402,0.1438,0.0506,0.1707,-0.3521,0.51,9,1.08,100,False
