date,signal_value,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2000-01-31,0.3599999999999999,1.0,-0.04978680702958593,-0.04978680702958593,1.2721374021339482,3.626696112808679
2000-02-29,0.020000000000000018,0.0,-0.015226519040106301,-0.015226519040106301,1.2527671777587244,3.5714741553943186
2000-03-31,-0.010000000000000009,0.0,0.0,0.09691428071272412,1.2527671777587244,3.917601004248443
2000-04-30,-0.2699999999999999,0.0,-0.0,-0.03512016205640156,1.2527671777587244,3.780014222106916
2000-05-31,-0.12,0.0,-0.0,-0.01572226153006162,1.2527671777587244,3.7205838499195987
2000-06-30,0.10000000000000009,0.0,0.0,0.019680972517204687,1.2527671777587244,3.793808558417822
2000-07-31,0.020000000000000018,0.0,-0.0,-0.015702207569641802,1.2527671777587244,3.7342373889540617
2000-08-31,-0.24,0.0,0.0,0.06534126148671682,1.2527671777587244,3.9782371706391837
2000-09-30,-0.9700000000000001,0.0,-0.0,-0.05486225919307952,1.2527671777587244,3.7599820918520335
2000-10-31,-0.51,0.0,-0.0,-0.004678342495466059,1.2527671777587244,3.7423916078495307
2000-11-30,0.020000000000000018,0.0,-0.0,-0.07465273374421932,1.2527671777587244,3.4630118435821386
2000-12-31,0.0,0.0,-0.0,-0.005226174269764572,1.2527671777587244,3.4449135401893196
2001-01-31,-0.64,0.0,0.0,0.04445880697460547,1.2527671777587244,3.5980702863168013
2001-02-28,-1.24,0.0,-0.0,-0.09538749777742839,1.2527671777587244,3.2548593648777264
2001-03-31,-0.58,0.0,-0.0,-0.05603710779366122,1.2527671777587244,3.0724664597948657
2001-04-30,-0.38,0.0,0.0,0.08543971821752638,1.2527671777587244,3.33497712835254
2001-05-31,-0.15000000000000002,0.0,-0.0,-0.005605649936525348,1.2527671777587244,3.316282414024677
2001-06-30,-0.34,0.0,-0.0,-0.02382879840585439,1.2527671777587244,3.2372593889240027
2001-07-31,0.81,1.0,-0.0,-0.010196359452530945,1.2527671777587244,3.204251128553453
2001-08-31,0.8,1.0,-0.05933219107068166,-0.05933219107068166,1.1784377562008652,3.014135888355672
2001-09-30,1.4,1.0,-0.08163035439953936,-0.08163035439953936,1.0822414645243905,2.768090907580828
2001-10-31,1.2,1.0,0.013021514382851374,0.013021514382851374,1.096333887320413,2.804135643146932
