signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T3_z1.5,P3,21,0.1099,2.1,-50.35,0.5196,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,21,0.5791,10.5,-33.72,0.5024,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T3_z2.0,P3,21,0.3272,6.25,-42.83,0.5211,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,21,0.594,10.96,-33.72,0.511,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T3_z2.5,P3,21,0.3752,7.17,-44.52,0.5239,49,3.64,True,2088
S1_spread_level,T1_p75,P1,63,0.694,13.16,-33.72,0.5182,61,2.27,True,2088
S1_spread_level,T1_p75,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T1_p75,P3,63,0.6053,11.56,-33.72,0.5244,61,4.53,True,2088
S1_spread_level,T1_p85,P1,63,0.7686,14.67,-33.72,0.5326,39,1.45,True,2088
S1_spread_level,T1_p85,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T1_p85,P3,63,0.7642,14.59,-33.72,0.5335,39,2.9,True,2088
S1_spread_level,T1_p95,P1,63,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T1_p95,P3,63,0.7726,14.75,-33.72,0.534,17,1.26,False,2088
S1_spread_level,T2_rp75,P1,63,0.6282,10.51,-31.77,0.3908,117,4.35,True,2088
S1_spread_level,T2_rp75,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T2_rp75,P3,63,0.328,6.27,-42.04,0.5144,117,8.69,True,2088
S1_spread_level,T2_rp85,P1,63,0.6182,11.06,-35.61,0.4483,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T2_rp85,P3,63,0.3855,7.37,-42.63,0.5163,125,9.29,True,2088
S1_spread_level,T2_rp95,P1,63,0.6311,11.76,-33.72,0.499,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T2_rp95,P3,63,0.4588,8.77,-35.77,0.5235,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,63,0.6682,12.24,-33.72,0.4823,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T3_z1.5,P3,63,0.5095,9.73,-35.81,0.5225,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,63,0.6483,12.09,-33.72,0.5029,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T3_z2.0,P3,63,0.4934,9.43,-33.72,0.5225,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,63,0.686,12.83,-33.72,0.511,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,63,0.6591,9.53,-22.52,0.5287,5664,4.28,True,2088
S1_spread_level,T3_z2.5,P3,63,0.5708,10.9,-33.72,0.5244,49,3.64,True,2088
S2a_zscore_252d,T1_p75,P1,0,0.5417,6.78,-21.67,0.4315,153,5.68,True,2088
S2a_zscore_252d,T1_p75,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T1_p75,P3,0,-0.0621,-1.19,-49.65,0.5053,153,11.37,False,2088
S2a_zscore_252d,T1_p85,P1,0,0.9452,12.9,-28.21,0.477,89,3.31,True,2088
S2a_zscore_252d,T1_p85,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T1_p85,P3,0,0.5787,11.05,-33.54,0.5268,89,6.61,True,2088
S2a_zscore_252d,T1_p95,P1,0,1.0397,15.56,-23.35,0.5091,79,2.93,True,2088
S2a_zscore_252d,T1_p95,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T1_p95,P3,0,0.8573,16.36,-23.2,0.5354,79,5.87,True,2088
S2a_zscore_252d,T2_rp75,P1,0,1.059,12.06,-16.63,0.3803,165,6.13,True,2088
S2a_zscore_252d,T2_rp75,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T2_rp75,P3,0,0.4899,9.36,-27.76,0.5125,165,12.26,True,2088
S2a_zscore_252d,T2_rp85,P1,0,0.7551,9.65,-27.01,0.4339,159,5.91,True,2088
S2a_zscore_252d,T2_rp85,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T2_rp85,P3,0,0.2384,4.56,-44.08,0.5091,159,11.81,True,2088
S2a_zscore_252d,T2_rp95,P1,0,1.0287,15.15,-26.62,0.4923,97,3.6,True,2088
S2a_zscore_252d,T2_rp95,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T2_rp95,P3,0,0.8149,15.56,-29.87,0.5273,97,7.21,True,2088
S2a_zscore_252d,T3_z1.5,P1,0,0.9555,13.28,-23.07,0.4789,105,3.9,True,2088
S2a_zscore_252d,T3_z1.5,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T3_z1.5,P3,0,0.6181,11.81,-25.34,0.5263,105,7.8,True,2088
S2a_zscore_252d,T3_z2.0,P1,0,1.0577,15.74,-23.43,0.4952,75,2.79,True,2088
S2a_zscore_252d,T3_z2.0,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T3_z2.0,P3,0,0.8761,16.72,-25.03,0.5311,75,5.57,True,2088
S2a_zscore_252d,T3_z2.5,P1,0,0.9915,15.2,-28.39,0.5034,61,2.27,True,2088
S2a_zscore_252d,T3_z2.5,P2,0,0.9767,9.74,-20.43,0.5292,6090,5.37,True,2088
S2a_zscore_252d,T3_z2.5,P3,0,0.8199,15.65,-32.79,0.5302,61,4.53,True,2088
S2a_zscore_252d,T1_p75,P1,1,0.7939,10.13,-24.64,0.4382,153,5.68,True,2088
S2a_zscore_252d,T1_p75,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T1_p75,P3,1,0.2885,5.51,-36.93,0.5172,153,11.37,True,2088
S2a_zscore_252d,T1_p85,P1,1,0.8993,12.44,-30.54,0.4765,89,3.31,True,2088
S2a_zscore_252d,T1_p85,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T1_p85,P3,1,0.5307,10.14,-37.69,0.5254,89,6.61,True,2088
S2a_zscore_252d,T1_p95,P1,1,0.8197,12.52,-31.21,0.5077,79,2.93,True,2088
S2a_zscore_252d,T1_p95,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T1_p95,P3,1,0.5391,10.3,-37.93,0.5321,79,5.87,True,2088
S2a_zscore_252d,T2_rp75,P1,1,0.9419,10.84,-18.8,0.3803,165,6.13,True,2088
S2a_zscore_252d,T2_rp75,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T2_rp75,P3,1,0.3621,6.92,-29.52,0.512,165,12.26,True,2088
S2a_zscore_252d,T2_rp85,P1,1,0.7593,9.85,-33.87,0.4368,159,5.91,True,2088
S2a_zscore_252d,T2_rp85,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T2_rp85,P3,1,0.2592,4.95,-44.27,0.5129,159,11.81,True,2088
S2a_zscore_252d,T2_rp95,P1,1,1.0441,15.4,-22.23,0.4933,97,3.6,True,2088
S2a_zscore_252d,T2_rp95,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T2_rp95,P3,1,0.841,16.05,-22.34,0.5287,97,7.21,True,2088
S2a_zscore_252d,T3_z1.5,P1,1,1.0116,14.16,-23.69,0.4794,105,3.9,True,2088
S2a_zscore_252d,T3_z1.5,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T3_z1.5,P3,1,0.7101,13.56,-24.54,0.5268,105,7.8,True,2088
S2a_zscore_252d,T3_z2.0,P1,1,1.0466,15.38,-23.69,0.4928,75,2.79,True,2088
