signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p85,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T1_p85,P3,63,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p95,P1,63,0.7726,0.1475,-0.3372,0.534,17,0.63,False,1632
S1_spread_level,T1_p95,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T1_p95,P3,63,0.7726,0.1475,-0.3372,0.534,17,1.26,False,1632
S1_spread_level,T2_rp75,P1,63,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp75,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T2_rp75,P3,63,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P1,63,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T2_rp85,P3,63,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P1,63,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T2_rp95,P3,63,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P1,63,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
S1_spread_level,T3_z1.5,P3,63,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P1,63,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P2,63,0.7546,0.0312,-0.0743,0.5576,6,0.93,True,1632
