date,signal_value,threshold,position,xlv_return,strat_ret,strategy_return,cum_return,cumulative_return,xlv
2021-09-30,10.546875000000021,4.858931578886577,1.0,-0.05518413393401944,-0.0,-0.0,1.2732470857256182,0.2732470857256182,118.32550048828125
2021-10-31,4.004711425206109,4.980611130853257,0.0,0.05121747406049071,0.05121747406049071,0.05121747406049071,1.3384595853113654,0.33845958531136544,124.38583374023438
2021-11-30,-6.11551528878821,4.765824867095453,0.0,-0.03056343729873956,-0.0,-0.0,1.3384595853113654,0.33845958531136544,120.58417510986328
2021-12-31,3.1363088057901,4.854501237026422,0.0,0.09019855416021394,0.0,0.0,1.3384595853113654,0.33845958531136544,131.460693359375
2022-01-31,-5.029239766081872,4.852447637663293,0.0,-0.06856419336147512,-0.0,-0.0,1.3384595853113654,0.33845958531136544,122.44719696044922
2022-02-28,-13.423645320197053,4.927808091625131,0.0,-0.009677620950167665,-0.0,-0.0,1.3384595853113654,0.33845958531136544,121.26219940185547
2022-03-31,3.5561877667140918,4.979363239786934,0.0,0.057381431160622665,0.0,0.0,1.3384595853113654,0.33845958531136544,128.22039794921875
2022-04-30,-1.5109890109890056,5.001635544076156,0.0,-0.048908658425533935,-0.0,-0.0,1.3384595853113654,0.33845958531136544,121.94931030273438
2022-05-31,-5.997210599721059,4.727186788373656,0.0,0.014889884598107805,0.0,0.0,1.3384595853113654,0.33845958531136544,123.76512145996094
2022-06-30,4.7477744807121525,4.7290993118195,1.0,-0.02608040294555425,-0.0,-0.0,1.3384595853113654,0.33845958531136544,120.53727722167969
2022-07-31,-4.815864022662875,4.674047631740308,0.0,0.03243895112254136,0.03243895112254136,0.03243895112254136,1.3818778103787779,0.3818778103787779,124.44738006591797
2022-08-31,-6.547619047619058,4.656393776799946,0.0,-0.05770371418025011,-0.0,-0.0,1.3818778103787779,0.3818778103787779,117.26630401611328
2022-09-30,-5.414012738853502,4.590428040881736,0.0,-0.025386899655823858,-0.0,-0.0,1.3818778103787779,0.3818778103787779,114.28927612304688
2022-10-31,9.764309764309775,4.920653697394627,1.0,0.09611102017580087,0.0,0.0,1.3818778103787779,0.3818778103787779,125.27373504638672
2022-11-30,-10.429447852760742,4.893219145460105,0.0,0.04723171224343381,0.04723171224343381,0.04723171224343381,1.4471462654741747,0.4471462654741747,131.1906280517578
2022-12-31,-14.383561643835618,4.960948500366657,0.0,-0.018776978844015302,-0.0,-0.0,1.4471462654741747,0.4471462654741747,128.72726440429688
2023-01-31,3.0000000000000027,5.059440626120901,0.0,-0.01832919050717907,-0.0,-0.0,1.4471462654741747,0.4471462654741747,126.3677978515625
2023-02-28,13.00970873786409,5.45572686556919,1.0,-0.04641562540752797,-0.0,-0.0,1.4471462654741747,0.4471462654741747,120.50235748291016
2023-03-31,0.6872852233676952,5.497124685182742,0.0,0.021978177825994427,0.021978177825994427,0.021978177825994427,1.4789519034369898,0.4789519034369898,123.1507797241211
2023-04-30,2.2184300341296925,5.3879473228124155,0.0,0.031438048438635624,0.0,0.0,1.4789519034369898,0.4789519034369898,127.02239990234375
2023-05-31,-5.342237061769605,5.362297138907216,0.0,-0.04268710343154092,-0.0,-0.0,1.4789519034369898,0.4789519034369898,121.60018157958984
2023-06-30,5.467372134038784,5.544022870213572,0.0,0.042606403072734,0.0,0.0,1.4789519034369898,0.4789519034369898,126.7811279296875
2023-07-31,8.528428093645491,5.801543536339238,1.0,0.010698508845156551,0.0,0.0,1.4789519034369898,0.4789519034369898,128.1374969482422
2023-08-31,3.081664098613257,5.7710584875729944,0.0,-0.007007045687593139,-0.007007045687593139,-0.007007045687593139,1.468588819879854,0.468588819879854,127.23963165283203
2023-09-30,-7.324364723467869,5.676022427099226,0.0,-0.029591931142416428,-0.0,-0.0,1.468588819879854,0.468588819879854,123.474365234375
