signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S3_mom,T2_roll_p25,P1_long_cash,1,0.3353,0.1558,0.1815,0.0822,0.01242,0.079703,-0.151105,0.1852,4.28,243,81,True
S3_mom,T2_roll_p25,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T2_roll_p25,P3_long_short,1,-0.3324,-0.5448,-0.8867,-0.159,-0.081883,0.150294,-0.514955,0.4938,8.57,243,81,False
S3_mom,T2_roll_p50,P1_long_cash,1,0.5189,0.4122,0.6347,0.2525,0.044366,0.107629,-0.17573,0.2716,5.43,243,81,True
S3_mom,T2_roll_p50,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T2_roll_p50,P3_long_short,1,0.0102,-0.1183,-0.2058,-0.0437,-0.017992,0.152075,-0.412136,0.5062,10.86,243,81,False
S3_mom,T2_roll_p75,P1_long_cash,1,0.5625,0.5634,1.1317,0.4827,0.075389,0.133813,-0.156182,0.4198,4.02,243,81,True
S3_mom,T2_roll_p75,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T2_roll_p75,P3_long_short,1,0.1543,0.2905,0.5967,0.2187,0.044054,0.151626,-0.201468,0.5432,8.05,243,81,True
S3_mom,T3_zscore_1.0,P1_long_cash,1,0.6242,0.4696,1.0111,0.4124,0.064402,0.137144,-0.156182,0.4444,3.29,243,81,True
S3_mom,T3_zscore_1.0,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_1.0,P3_long_short,1,0.3128,0.1452,0.3047,0.0863,0.02208,0.15203,-0.255863,0.5185,6.57,243,81,True
S3_mom,T3_zscore_neg_1.0,P1_long_cash,1,0.6,0.9587,2.1863,0.9911,0.125025,0.130416,-0.126154,0.4444,2.77,243,81,True
S3_mom,T3_zscore_neg_1.0,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_neg_1.0,P3_long_short,1,0.3451,0.9793,2.551,1.1361,0.143327,0.146359,-0.126154,0.5556,5.54,243,81,True
S3_mom,T3_zscore_1.5,P1_long_cash,1,0.6468,0.4753,1.0313,0.4238,0.066194,0.139277,-0.156182,0.4691,1.59,243,81,True
S3_mom,T3_zscore_1.5,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_1.5,P3_long_short,1,0.4421,0.1689,0.3479,0.1091,0.025665,0.151982,-0.235271,0.4938,3.18,243,81,True
S3_mom,T3_zscore_neg_1.5,P1_long_cash,1,0.6174,0.7465,1.7,0.8364,0.105519,0.141353,-0.126154,0.5062,1.37,243,81,True
S3_mom,T3_zscore_neg_1.5,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_neg_1.5,P3_long_short,1,0.3988,0.6995,1.7201,0.6541,0.104315,0.149117,-0.15949,0.5556,2.73,243,81,True
S3_mom,T3_zscore_2.0,P1_long_cash,1,0.6954,0.5366,1.2344,0.4506,0.077077,0.143641,-0.171063,0.5062,0.78,243,81,True
S3_mom,T3_zscore_2.0,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_2.0,P3_long_short,1,0.5642,0.313,0.6759,0.1679,0.04743,0.15154,-0.282544,0.5062,1.55,243,81,True
S3_mom,T3_zscore_neg_2.0,P1_long_cash,1,0.6244,0.6855,1.5888,0.6328,0.098837,0.144191,-0.156182,0.5185,0.7,243,81,True
S3_mom,T3_zscore_neg_2.0,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T3_zscore_neg_2.0,P3_long_short,1,0.4486,0.6069,1.4764,0.5823,0.09095,0.149854,-0.156182,0.5432,1.4,243,81,True
S3_mom,T4_zero,P1_long_cash,1,0.2921,0.5132,0.787,0.357,0.053629,0.104504,-0.150205,0.2716,6.24,243,81,True
S3_mom,T4_zero,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T4_zero,P3_long_short,1,-0.188,0.0035,0.0061,0.0016,0.000534,0.152165,-0.333718,0.5185,12.48,243,81,True
S3_mom,T1_fixed_p25,P1_long_cash,2,0.186,0.076,0.1208,0.0314,0.006572,0.086531,-0.209614,0.1852,4.62,243,81,True
S3_mom,T1_fixed_p25,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T1_fixed_p25,P3_long_short,2,-0.4226,-0.625,-1.1021,-0.161,-0.093579,0.149717,-0.581144,0.4198,9.23,243,81,False
S3_mom,T1_fixed_p50,P1_long_cash,2,0.5298,0.0388,0.0574,0.0138,0.003638,0.093747,-0.263806,0.2099,6.24,243,81,True
S3_mom,T1_fixed_p50,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T1_fixed_p50,P3_long_short,2,0.1625,-0.6657,-1.132,-0.1644,-0.099448,0.149398,-0.605011,0.3951,12.48,243,81,False
S3_mom,T1_fixed_p75,P1_long_cash,2,0.5786,0.4361,0.9081,0.2206,0.056455,0.129462,-0.255895,0.3704,4.76,243,81,True
S3_mom,T1_fixed_p75,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T1_fixed_p75,P3_long_short,2,0.3676,0.0407,0.094,0.014,0.006186,0.152154,-0.442739,0.4444,9.53,243,81,True
S3_mom,T2_roll_p25,P1_long_cash,2,0.4694,0.0717,0.0974,0.0273,0.005727,0.079905,-0.209614,0.1481,4.28,243,81,True
S3_mom,T2_roll_p25,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
