date,signal_value,threshold_value,position,strategy_return,bh_return
2018-10-31,-2.564102564102577,4.170602593959594,0.0,-0.0,-0.0677878985089404
2018-11-30,-0.8097165991902799,3.7356545769444485,0.0,0.0,0.0808344659227136
2018-12-31,0.20408163265306367,3.7454568403106587,0.0,-0.0,-0.09353634476899475
2019-01-31,-0.3054989816700604,3.7195245047209227,0.0,0.0,0.04808655202381562
2019-02-28,-1.7364657814096018,3.723271353142777,0.0,0.0,0.010808870178381502
2019-03-31,4.054054054054035,3.8271945980982807,1.0,0.0,0.004818987492115401
2019-04-30,-1.4985014985015033,3.8107755717543825,0.0,-0.027138895337912916,-0.027138895337912916
2019-05-31,-1.1156186612576002,3.744640537110091,0.0,-0.0,-0.02218250998203264
2019-06-30,0.8205128205128087,3.353738931452214,0.0,0.0,0.06594011848700898
2019-07-31,-7.222787385554419,3.404875641907031,0.0,-0.0,-0.016191434924122672
2019-08-31,2.8508771929824483,3.4619460609851167,0.0,-0.0,-0.00592530154743276
2019-09-30,4.904051172707891,3.6175313335100943,1.0,-0.0,-0.0010555502053071208
2019-10-31,-1.2195121951219523,3.4576101462358197,0.0,0.05125940388621708,0.05125940388621708
2019-11-30,2.8806584362139898,3.5432135059659675,0.0,0.0,0.0500263268849499
2019-12-31,-1.8000000000000016,3.5131306053636875,0.0,0.0,0.034752976800054736
2020-01-31,0.20366598778003286,3.5268924862956457,0.0,-0.0,-0.02670375630380384
2020-02-29,-8.739837398373995,3.5765619400170623,0.0,-0.0,-0.06586618535161959
2020-03-31,3.786191536748329,3.615599843965808,1.0,-0.0,-0.038873844915504274
2020-04-30,2.467811158798283,3.6084424183690373,0.0,0.12587530623156407,0.12587530623156407
2020-05-31,1.3612565445026092,3.5882284547124264,0.0,0.0,0.032888720431112795
2020-06-30,2.5826446280991844,3.4868404678234937,0.0,-0.0,-0.02442568537769718
2020-07-31,0.5035246727089548,3.359087437883828,0.0,0.0,0.054561811828200746
2020-08-31,1.2024048096192397,3.406758810974686,0.0,0.0,0.025869542734044737
2020-09-30,-11.782178217821793,3.583378270999919,0.0,-0.0,-0.021804830646127038
2020-10-31,-19.41638608305275,3.9725307050048833,0.0,-0.0,-0.036215518753626386
2020-11-30,0.696378830083555,4.0258648247333335,0.0,0.0,0.0794806910936372
2020-12-31,8.022130013831251,4.1189710945356035,1.0,0.0,0.037978428010078336
2021-01-31,-7.170294494238149,4.127332587795397,0.0,0.01401612735548774,0.01401612735548774
2021-02-28,2.2068965517241246,4.1955046269417835,0.0,-0.0,-0.021038111743178045
2021-03-31,8.502024291498,4.5166332308500685,1.0,0.0,0.040273190617287735
2021-04-30,1.741293532338295,4.478322888589515,0.0,0.0393181533274225,0.0393181533274225
2021-05-31,-5.990220048899742,4.41403358552942,0.0,0.0,0.0187095168382434
2021-06-30,4.941482444733425,4.515706893904759,1.0,0.0,0.022989545374550113
2021-07-31,-2.106567534076831,4.498044280744089,0.0,0.0492259190903217,0.0492259190903217
2021-08-31,-2.784810126582282,4.469553494608629,0.0,0.0,0.02315547935505924
2021-09-30,10.546875000000021,4.858931578886575,1.0,-0.0,-0.05518416832232653
2021-10-31,4.004711425206109,4.980611130853255,0.0,0.05121766583496634,0.05121766583496634
2021-11-30,-6.11551528878821,4.765824867095451,0.0,-0.0,-0.03056355522829901
2021-12-31,3.1363088057901,4.85450123702642,0.0,0.0,0.09019841305902987
2022-01-31,-5.029239766081872,4.852447637663292,0.0,-0.0,-0.0685641178155556
2022-02-28,-13.423645320197053,4.92780809162513,0.0,-0.0,-0.009677559054970253
2022-03-31,3.5561877667140918,4.979363239786932,0.0,0.0,0.057381472241817555
2022-04-30,-1.5109890109890056,5.001635544076154,0.0,-0.0,-0.04890854878973672
2022-05-31,-5.997210599721059,4.727186788373655,0.0,0.0,0.014889822814024178
2022-06-30,4.7477744807121525,4.729099311819499,1.0,-0.0,-0.02608044511167884
2022-07-31,-4.815864022662875,4.674047631740307,0.0,0.03243910083415513,0.03243910083415513
2022-08-31,-6.547619047619058,4.656393776799945,0.0,-0.0,-0.05770388290060302
