signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,7,0.8546,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,8,0.8931,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,9,0.913,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,10,0.9689,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,11,0.9285,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,12,0.938,True,pipeline
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,1,-0.1177,False,pipeline
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,2,-0.4138,False,pipeline
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,3,-0.3504,False,pipeline
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,4,-0.434,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,5,-0.6539,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,6,-0.6369,False,pipeline
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,7,-0.5013,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,8,-0.5487,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,9,-0.6157,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,10,-0.7076,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,11,-0.6376,False,patched
yoy,T1_fixed_p75,P3_long_short_pro,LB_NA,m2sl_pct_yoy,12,-0.6551,False,pipeline
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,1,0.1177,False,pipeline
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,2,0.4138,True,pipeline
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,3,0.3504,True,pipeline
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,4,0.434,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,5,0.6539,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,6,0.6369,True,pipeline
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,7,0.5013,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,8,0.5487,True,patched
