signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,0,-0.5546,0.29,-42.48,-7.29,False,invalid
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,0,0.5546,0.29,-15.02,7.29,True,valid
S1_level,T1_fixed_p25,P1_long_cash_pro,1,0.6813,0.46,-13.29,8.73,True,valid
S1_level,T1_fixed_p25,P1_long_cash_counter,1,0.3654,0.46,-0.22,0.96,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T1_fixed_p25,P3_long_short_pro,1,0.5918,0.93,-13.29,7.77,True,valid
S1_level,T1_fixed_p25,P3_long_short_counter,1,-0.5918,0.93,-44.36,-7.77,False,invalid
S1_level,T1_fixed_p50,P1_long_cash_pro,1,0.5979,0.32,-13.29,7.39,True,valid
S1_level,T1_fixed_p50,P1_long_cash_counter,1,0.5173,0.32,-4.5,2.3,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T1_fixed_p50,P3_long_short_pro,1,0.3846,0.64,-22.53,5.09,True,valid
S1_level,T1_fixed_p50,P3_long_short_counter,1,-0.3846,0.64,-34.16,-5.09,False,invalid
S1_level,T1_fixed_p75,P1_long_cash_pro,1,0.5329,0.61,-13.29,6.07,True,valid
S1_level,T1_fixed_p75,P1_long_cash_counter,1,0.5476,0.61,-6.15,3.62,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T1_fixed_p75,P3_long_short_pro,1,0.1842,1.21,-32.45,2.45,True,valid
S1_level,T1_fixed_p75,P3_long_short_counter,1,-0.1842,1.21,-30.2,-2.45,False,invalid
S1_level,T2_roll_p25,P1_long_cash_pro,1,0.6217,0.32,-13.29,7.55,True,valid
S1_level,T2_roll_p25,P1_long_cash_counter,1,0.4285,0.32,-6.15,2.13,True,valid
S1_level,T2_roll_p25,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T2_roll_p25,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T2_roll_p25,P3_long_short_pro,1,0.4093,0.64,-22.74,5.41,True,valid
S1_level,T2_roll_p25,P3_long_short_counter,1,-0.4093,0.64,-35.99,-5.41,False,invalid
S1_level,T2_roll_p50,P1_long_cash_pro,1,0.7997,1.04,-9.41,6.14,True,valid
S1_level,T2_roll_p50,P1_long_cash_counter,1,0.3317,1.04,-13.74,3.55,True,valid
S1_level,T2_roll_p50,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T2_roll_p50,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T2_roll_p50,P3_long_short_pro,1,0.1949,2.07,-37.77,2.59,True,valid
S1_level,T2_roll_p50,P3_long_short_counter,1,-0.1949,2.07,-32.95,-2.59,False,invalid
S1_level,T2_roll_p75,P1_long_cash_pro,1,0.3638,0.54,-6.64,1.24,True,valid
S1_level,T2_roll_p75,P1_long_cash_counter,1,0.6682,0.54,-13.29,8.44,True,valid
S1_level,T2_roll_p75,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T2_roll_p75,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T2_roll_p75,P3_long_short_pro,1,-0.5474,1.07,-50.87,-7.2,False,invalid
S1_level,T2_roll_p75,P3_long_short_counter,1,0.5474,1.07,-13.29,7.2,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_pro,1,0.4345,0.36,-4.92,1.4,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_counter,1,0.6526,0.36,-13.29,8.28,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T3_zscore_1.0,P3_long_short_pro,1,-0.5225,0.71,-50.5,-6.88,False,invalid
S1_level,T3_zscore_1.0,P3_long_short_counter,1,0.5225,0.71,-13.29,6.88,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,1,0.5666,0.29,-4.5,2.53,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,1,0.5788,0.29,-13.29,7.15,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short_pro,1,-0.3483,0.57,-34.16,-4.62,False,invalid
S1_level,T3_zscore_neg_1.0,P3_long_short_counter,1,0.3483,0.57,-25.06,4.62,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_pro,1,0.4826,0.5,0.0,0.99,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_counter,1,0.6733,0.5,-13.29,8.7,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
