signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T1_fixed_p25,P3_long_short_pro,1,0.6039,0.5918,1.041,0.5846,7.77,13.13,-13.29,0.5833,0.93,240,84,True
S1_level,T1_fixed_p25,P3_long_short_counter,1,-0.6039,-0.5918,-0.9586,-0.1751,-7.77,13.13,-44.36,0.4167,0.93,240,84,False
S1_level,T1_fixed_p50,P1_long_cash_pro,1,0.5034,0.5979,1.003,0.5558,7.39,12.36,-13.29,0.5357,0.32,240,84,True
S1_level,T1_fixed_p50,P1_long_cash_counter,1,0.2358,0.5173,0.5003,0.5106,2.3,4.44,-4.5,0.0476,0.32,240,84,True
S1_level,T1_fixed_p50,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T1_fixed_p50,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T1_fixed_p50,P3_long_short_pro,1,0.1435,0.3846,0.6489,0.226,5.09,13.24,-22.53,0.5714,0.64,240,84,True
S1_level,T1_fixed_p50,P3_long_short_counter,1,-0.1435,-0.3846,-0.6469,-0.149,-5.09,13.24,-34.16,0.4286,0.64,240,84,False
S1_level,T1_fixed_p75,P1_long_cash_pro,1,0.2249,0.5329,0.7958,0.4564,6.07,11.38,-13.29,0.4286,0.61,240,84,True
S1_level,T1_fixed_p75,P1_long_cash_counter,1,0.453,0.5476,0.6072,0.5879,3.62,6.61,-6.15,0.1548,0.61,240,84,True
S1_level,T1_fixed_p75,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T1_fixed_p75,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T1_fixed_p75,P3_long_short_pro,1,-0.2913,0.1842,0.303,0.0755,2.45,13.3,-32.45,0.5357,1.21,240,84,True
S1_level,T1_fixed_p75,P3_long_short_counter,1,0.2913,-0.1842,-0.3198,-0.0811,-2.45,13.3,-30.2,0.4643,1.21,240,84,False
S1_level,T2_roll_p25,P1_long_cash_pro,1,0.5245,0.6217,1.0177,0.5679,7.55,12.14,-13.29,0.5,0.32,240,84,True
S1_level,T2_roll_p25,P1_long_cash_counter,1,0.1354,0.4285,0.338,0.347,2.13,4.98,-6.15,0.0833,0.32,240,84,True
S1_level,T2_roll_p25,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T2_roll_p25,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T2_roll_p25,P3_long_short_pro,1,0.3479,0.4093,0.7027,0.2381,5.41,13.23,-22.74,0.5595,0.64,240,84,True
S1_level,T2_roll_p25,P3_long_short_counter,1,-0.3479,-0.4093,-0.6794,-0.1504,-5.41,13.23,-35.99,0.4405,0.64,240,84,False
S1_level,T2_roll_p50,P1_long_cash_pro,1,0.481,0.7997,0.82,0.6526,6.14,7.68,-9.41,0.2738,1.04,240,84,True
S1_level,T2_roll_p50,P1_long_cash_counter,1,0.2342,0.3317,0.4881,0.258,3.55,10.69,-13.74,0.3095,1.04,240,84,True
S1_level,T2_roll_p50,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T2_roll_p50,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T2_roll_p50,P3_long_short_pro,1,0.1715,0.1949,0.2922,0.0686,2.59,13.3,-37.77,0.5595,2.07,240,84,True
S1_level,T2_roll_p50,P3_long_short_counter,1,-0.1715,-0.1949,-0.3741,-0.0787,-2.59,13.3,-32.95,0.4405,2.07,240,84,False
S1_level,T2_roll_p75,P1_long_cash_pro,1,0.5265,0.3638,0.4748,0.1869,1.24,3.41,-6.64,0.0833,0.54,240,84,True
S1_level,T2_roll_p75,P1_long_cash_counter,1,0.2631,0.6682,1.1091,0.6352,8.44,12.64,-13.29,0.5,0.54,240,84,True
S1_level,T2_roll_p75,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T2_roll_p75,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T2_roll_p75,P3_long_short_pro,1,0.0604,-0.5474,-0.8806,-0.1416,-7.2,13.16,-50.87,0.4405,1.07,240,84,False
S1_level,T2_roll_p75,P3_long_short_counter,1,-0.0604,0.5474,0.9826,0.5418,7.2,13.16,-13.29,0.5595,1.07,240,84,True
S1_level,T3_zscore_1.0,P1_long_cash_pro,1,0.5654,0.4345,1.6382,0.2846,1.4,3.23,-4.92,0.0476,0.36,240,84,True
S1_level,T3_zscore_1.0,P1_long_cash_counter,1,0.2619,0.6526,1.1124,0.6231,8.28,12.69,-13.29,0.5357,0.36,240,84,True
S1_level,T3_zscore_1.0,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_1.0,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T3_zscore_1.0,P3_long_short_pro,1,0.0473,-0.5225,-0.8329,-0.1363,-6.88,13.17,-50.5,0.4405,0.71,240,84,False
S1_level,T3_zscore_1.0,P3_long_short_counter,1,-0.0473,0.5225,0.9516,0.5177,6.88,13.17,-13.29,0.5595,0.71,240,84,True
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,1,0.1887,0.5666,0.5521,0.5635,2.53,4.47,-4.5,0.0595,0.29,240,84,True
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,1,0.4705,0.5788,0.9707,0.5379,7.15,12.35,-13.29,0.5238,0.29,240,84,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_1.0,P3_long_short_pro,1,-0.3842,-0.3483,-0.5827,-0.1351,-4.62,13.25,-34.16,0.4405,0.57,240,84,False
S1_level,T3_zscore_neg_1.0,P3_long_short_counter,1,0.3842,0.3483,0.5933,0.1842,4.62,13.25,-25.06,0.5595,0.57,240,84,True
S1_level,T3_zscore_1.5,P1_long_cash_pro,1,0.4243,0.4826,0.0,0.0,0.99,2.05,0.0,0.0238,0.5,240,84,True
S1_level,T3_zscore_1.5,P1_long_cash_counter,1,0.372,0.6733,1.2029,0.6542,8.7,12.91,-13.29,0.5595,0.5,240,84,True
S1_level,T3_zscore_1.5,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_1.5,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T3_zscore_1.5,P3_long_short_pro,1,-0.1828,-0.5869,-0.9339,-0.1527,-7.71,13.13,-50.47,0.4405,1.0,240,84,False
S1_level,T3_zscore_1.5,P3_long_short_counter,1,0.1828,0.5869,1.0734,0.5798,7.71,13.13,-13.29,0.5595,1.0,240,84,True
S1_level,T3_zscore_neg_1.5,P1_long_cash_pro,1,0.3289,0.5824,0.0,8.24,1.85,3.18,-0.22,0.0357,0.14,240,84,True
S1_level,T3_zscore_neg_1.5,P1_long_cash_counter,1,0.4348,0.6156,1.092,0.5893,7.83,12.72,-13.29,0.5476,0.14,240,84,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_1.5,P3_long_short_pro,1,-0.3326,-0.4529,-0.7285,-0.1548,-5.98,13.21,-38.65,0.4405,0.29,240,84,False
S1_level,T3_zscore_neg_1.5,P3_long_short_counter,1,0.3326,0.4529,0.8135,0.266,5.98,13.21,-22.48,0.5595,0.29,240,84,True
S1_level,T3_zscore_2.0,P1_long_cash_pro,1,0.2553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,240,84,False
S1_level,T3_zscore_2.0,P1_long_cash_counter,1,0.4791,0.7437,1.3397,0.7285,9.68,13.02,-13.29,0.5833,0.14,240,84,True
S1_level,T3_zscore_2.0,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_2.0,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
