lead_months,lead_unit,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
17,weeks,67,1.2691,0.6721,0.4624,0.7824,sox_spy_ratio_mom_12m_pct,Trp75_hi,P1,-0.0449
18,weeks,66,1.4092,0.636,0.5433,0.7947,sox_spy_ratio_mom_12m_pct,Trp75_hi,P1,-0.0414
19,weeks,64,1.4711,0.6678,0.5127,0.837,sox_spy_ratio_mom_12m_pct,Tz1_hi,P1,-0.0278
20,weeks,71,1.1471,0.6791,0.4494,0.7734,sox_spy_ratio_mom_12m_pct,Tp75_hi,P1,-0.0769
21,weeks,71,1.2573,0.6696,0.4813,0.7784,sox_spy_ratio_mom_12m_pct,Tp75_hi,P1,-0.0592
22,weeks,65,1.1441,0.6335,0.5496,0.7673,sox_spy_ratio_mom_3m_pct,Tp90_hi,P1,-0.0279
23,weeks,65,1.1092,0.6703,0.5433,0.7897,sox_spy_ratio_mom_6m_pct,Tz1_hi,P1,-0.0656
24,weeks,71,1.2055,0.6654,0.4839,0.7794,sox_spy_ratio_mom_3m_pct,Tp25_hi,P1,-0.2248
25,weeks,68,1.1927,0.658,0.5578,0.8505,sox_spy_ratio_mom_3m_pct,Trp25_hi,P1,-0.1914
26,weeks,68,1.2922,0.6848,0.5012,0.846,sox_spy_ratio_mom_12m_pct,Tp25_lo,P1,-0.0242
27,weeks,66,1.5239,0.7053,0.5211,0.8168,sox_spy_ratio_mom_6m_pct,Tz1_hi,P1,-0.0328
28,weeks,71,1.3347,0.6852,0.5026,0.7958,sox_spy_ratio_mom_3m_pct,Trp25_hi,P1,-0.1169
29,weeks,69,1.3266,0.6494,0.4897,0.8003,sox_spy_ratio_mom_6m_pct,Trp75_hi,P1,-0.0483
30,weeks,70,1.3542,0.681,0.4608,0.8126,sox_spy_ratio_mom_6m_pct,Trp75_hi,P1,-0.0483
31,weeks,68,1.243,0.7013,0.481,0.8545,sox_spy_ratio_mom_6m_pct,Trp75_hi,P1,-0.0483
32,weeks,67,1.0145,0.7255,0.4974,0.877,sox_spy_ratio_mom_6m_pct,Tz1_hi,P1,-0.0385
33,weeks,63,1.4559,0.7104,0.5878,0.8364,sox_spy_ratio_mom_6m_pct,Tp75_hi,P1,-0.0554
34,weeks,70,1.0535,0.6983,0.4833,0.791,sox_spy_ratio_mom_6m_pct,Trp75_hi,P1,-0.0769
35,weeks,71,1.4937,0.6962,0.5441,0.812,sox_spy_ratio,Tz1_lo,P1,-0.098
36,weeks,70,1.5244,0.7036,0.5118,0.7967,sox_spy_ratio,Tz1_lo,P1,-0.098
37,weeks,70,1.4662,0.7156,0.5618,0.8207,sox_spy_ratio,Tz1_lo,P1,-0.098
38,weeks,64,1.1956,0.706,0.5509,0.8433,sox_spy_ratio,Tz1_lo,P1,-0.098
39,weeks,67,1.4598,0.7045,0.552,0.8331,sox_spy_ratio_mom_12m_pct,Tp75_lo,P1,-0.1254
40,weeks,60,1.3596,0.8109,0.6221,0.9401,sox_spy_ratio,Tz1_lo,P1,-0.098
41,weeks,63,1.501,0.8047,0.5466,0.8822,sox_spy_ratio,Tz1_lo,P1,-0.098
42,weeks,62,1.2826,0.8011,0.5625,0.9278,sox_spy_ratio_mom_3m_pct,Tp75_hi,P1,-0.0757
43,weeks,64,1.2703,0.7623,0.5386,0.8442,sox_spy_ratio,Tz1_lo,P1,-0.098
44,weeks,64,1.1883,0.7533,0.5967,0.8697,sox_spy_ratio_mom_3m_pct,Tp90_hi,P1,-0.0194
45,weeks,66,1.2034,0.779,0.5153,0.8574,sox_spy_ratio,Tz1_lo,P1,-0.098
46,weeks,58,1.2318,0.8278,0.5983,0.9187,sox_spy_ratio,Tz1_lo,P1,-0.098
47,weeks,65,1.1352,0.753,0.5028,0.9149,sox_spy_ratio,Tz1_lo,P1,-0.098
48,weeks,66,1.0066,0.6655,0.5319,0.8874,sox_spy_ratio,Tz1_lo,P1,-0.098
49,weeks,66,1.2167,0.6777,0.5478,0.8296,sox_spy_ratio,Tz1_lo,P1,-0.098
50,weeks,63,1.163,0.7868,0.487,0.867,sox_spy_ratio_mom_12m_pct,Tp90_lo,P2,-0.2189
51,weeks,65,1.4897,0.6948,0.5525,0.8347,sox_spy_ratio,Tz1_lo,P1,-0.098
52,weeks,66,1.3209,0.6969,0.5726,0.8536,sox_spy_ratio,Tz1_lo,P1,-0.098
