signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread_zscore_252d,T2_rp25,P3,21,-0.5628,-10.75,-70.34,30.4,2088,False
spread_zscore_252d,T2_rp50,P1,21,0.1735,2.63,-31.93,15.55,2088,True
spread_zscore_252d,T2_rp50,P2,21,0.5637,7.54,-27.13,10.84,2088,True
spread_zscore_252d,T2_rp50,P3,21,-0.4972,-9.5,-68.9,31.1,2088,False
spread_zscore_252d,T2_rp75,P1,21,0.3954,6.56,-34.06,17.66,2088,True
spread_zscore_252d,T2_rp75,P2,21,0.5637,7.54,-27.13,10.84,2088,True
spread_zscore_252d,T2_rp75,P3,21,-0.0857,-1.64,-51.39,35.33,2088,False
spread_zscore_126d,T1_p25,P1,0,-0.3945,-3.45,-32.94,15.4,2088,False
spread_zscore_126d,T1_p25,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T1_p25,P3,0,-1.1358,-21.65,-86.47,30.81,2088,False
spread_zscore_126d,T1_p50,P1,0,0.3665,4.69,-22.23,18.63,2088,True
spread_zscore_126d,T1_p50,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T1_p50,P3,0,-0.2807,-5.36,-53.01,37.26,2088,False
spread_zscore_126d,T1_p75,P1,0,0.5294,8.11,-25.17,16.64,2088,True
spread_zscore_126d,T1_p75,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T1_p75,P3,0,0.0773,1.48,-41.67,33.27,2088,False
spread_zscore_126d,T2_rp25,P1,0,0.0863,0.72,-20.34,16.52,2088,True
spread_zscore_126d,T2_rp25,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T2_rp25,P3,0,-0.6973,-13.32,-74.36,33.04,2088,False
spread_zscore_126d,T2_rp50,P1,0,0.1103,1.29,-30.39,20.57,2088,True
spread_zscore_126d,T2_rp50,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T2_rp50,P3,0,-0.637,-12.17,-72.69,41.13,2088,False
spread_zscore_126d,T2_rp75,P1,0,0.6137,9.47,-30.15,20.63,2088,True
spread_zscore_126d,T2_rp75,P2,0,0.7409,8.01,-19.39,12.13,2088,True
spread_zscore_126d,T2_rp75,P3,0,0.2196,4.2,-38.84,41.25,2088,False
spread_zscore_126d,T1_p25,P1,1,-0.1837,-1.61,-26.79,15.34,2088,False
spread_zscore_126d,T1_p25,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T1_p25,P3,1,-0.942,-17.97,-82.28,30.69,2088,False
spread_zscore_126d,T1_p50,P1,1,0.5201,6.64,-23.62,18.63,2088,True
spread_zscore_126d,T1_p50,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T1_p50,P3,1,-0.0771,-1.47,-50.27,37.26,2088,False
spread_zscore_126d,T1_p75,P1,1,0.6347,9.85,-24.4,16.64,2088,True
spread_zscore_126d,T1_p75,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T1_p75,P3,1,0.2594,4.96,-33.62,33.27,2088,False
spread_zscore_126d,T2_rp25,P1,1,0.5048,4.29,-19.01,16.52,2088,True
