trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
72,2007-07-19,2007-07-20,Long,78.02,7802.22,109.63,1,-0.79,S6_hmm_stress,T4_hmm_0.5,P2
73,2007-07-20,2007-09-20,Cash,0.0,0.0,108.52,62,-0.02,S6_hmm_stress,T4_hmm_0.5,P2
74,2007-09-20,2007-09-21,Long,36.62,3662.08,107.66,1,0.1,S6_hmm_stress,T4_hmm_0.5,P2
75,2007-09-21,2007-09-24,Long,80.17,8017.0,107.95,3,-0.15,S6_hmm_stress,T4_hmm_0.5,P2
76,2007-09-24,2007-09-25,Long,92.24,9223.99,107.75,1,-0.18,S6_hmm_stress,T4_hmm_0.5,P2
77,2007-09-25,2007-10-15,Long,98.09,9809.13,107.54,20,2.39,S6_hmm_stress,T4_hmm_0.5,P2
78,2007-10-15,2007-10-16,Long,90.91,9090.84,110.11,1,-0.72,S6_hmm_stress,T4_hmm_0.5,P2
79,2007-10-16,2007-10-17,Long,62.12,6211.69,109.24,1,0.19,S6_hmm_stress,T4_hmm_0.5,P2
80,2007-10-17,2007-10-18,Long,34.31,3430.61,109.57,1,-0.12,S6_hmm_stress,T4_hmm_0.5,P2
81,2007-10-18,2007-10-19,Long,20.89,2088.84,109.17,1,-0.55,S6_hmm_stress,T4_hmm_0.5,P2
82,2007-10-19,2007-11-01,Long,7.22,721.82,106.32,13,0.11,S6_hmm_stress,T4_hmm_0.5,P2
83,2007-11-01,2007-12-21,Long,0.15,14.82,107.28,50,0.13,S6_hmm_stress,T4_hmm_0.5,P2
84,2007-12-21,2007-12-24,Long,13.01,1301.15,105.78,3,0.1,S6_hmm_stress,T4_hmm_0.5,P2
85,2007-12-24,2007-12-28,Long,18.1,1810.39,106.57,4,-0.21,S6_hmm_stress,T4_hmm_0.5,P2
86,2007-12-28,2008-04-21,Long,4.56,456.44,105.19,115,-0.03,S6_hmm_stress,T4_hmm_0.5,P2
87,2008-04-21,2008-04-22,Long,14.18,1418.32,99.43,1,-0.06,S6_hmm_stress,T4_hmm_0.5,P2
88,2008-04-22,2008-04-23,Long,22.47,2246.89,98.99,1,-0.04,S6_hmm_stress,T4_hmm_0.5,P2
89,2008-04-23,2008-04-24,Long,33.07,3306.92,98.83,1,0.14,S6_hmm_stress,T4_hmm_0.5,P2
90,2008-04-24,2008-04-25,Long,38.49,3849.03,99.26,1,0.36,S6_hmm_stress,T4_hmm_0.5,P2
91,2008-04-25,2008-04-28,Long,62.43,6242.65,100.18,3,0.01,S6_hmm_stress,T4_hmm_0.5,P2
92,2008-04-28,2008-04-29,Long,83.39,8338.9,100.2,1,-0.33,S6_hmm_stress,T4_hmm_0.5,P2
93,2008-04-29,2008-06-02,Long,90.47,9047.38,99.81,34,-0.14,S6_hmm_stress,T4_hmm_0.5,P2
94,2008-06-02,2008-06-03,Long,58.28,5828.04,99.68,1,-0.34,S6_hmm_stress,T4_hmm_0.5,P2
95,2008-06-03,2008-06-04,Long,35.57,3556.62,99.1,1,-0.02,S6_hmm_stress,T4_hmm_0.5,P2
96,2008-06-04,2008-06-05,Long,20.87,2086.84,99.05,1,0.42,S6_hmm_stress,T4_hmm_0.5,P2
97,2008-06-05,2008-08-08,Long,2.32,231.86,101.03,64,-0.0,S6_hmm_stress,T4_hmm_0.5,P2
98,2008-08-08,2008-08-11,Long,13.87,1386.76,93.31,3,0.14,S6_hmm_stress,T4_hmm_0.5,P2
99,2008-08-11,2008-08-12,Long,19.98,1997.62,94.27,1,-0.21,S6_hmm_stress,T4_hmm_0.5,P2
100,2008-08-12,2008-08-13,Long,27.93,2793.15,93.29,1,-0.17,S6_hmm_stress,T4_hmm_0.5,P2
101,2008-08-13,2008-08-14,Long,36.27,3627.37,92.73,1,0.27,S6_hmm_stress,T4_hmm_0.5,P2
102,2008-08-14,2008-08-15,Long,51.11,5110.91,93.43,1,0.25,S6_hmm_stress,T4_hmm_0.5,P2
103,2008-08-15,2008-08-28,Long,59.03,5902.63,93.88,13,0.1,S6_hmm_stress,T4_hmm_0.5,P2
