signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T3_z2.0,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T3_z2.0,P3,21,0.4253,0.08421,-0.420939,0.5263,73,5.36,True,1712
S1_spread_level,T3_z2.5,P1,21,0.647,0.123347,-0.337173,0.5129,49,1.8,True,1712
S1_spread_level,T3_z2.5,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T3_z2.5,P3,21,0.4338,0.085896,-0.445177,0.5263,49,3.6,True,1712
S1_spread_level,T1_p75,P1,63,0.7667,0.149471,-0.337173,0.5129,71,2.61,True,1712
S1_spread_level,T1_p75,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T1_p75,P3,63,0.6981,0.138144,-0.337173,0.5216,71,5.21,True,1712
S1_spread_level,T1_p85,P1,63,0.8027,0.15873,-0.337173,0.5304,29,1.06,True,1712
S1_spread_level,T1_p85,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T1_p85,P3,63,0.7919,0.156663,-0.337173,0.5315,29,2.13,True,1712
S1_spread_level,T1_p95,P1,63,0.8129,0.160798,-0.337173,0.5333,17,0.62,True,1712
S1_spread_level,T1_p95,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T1_p95,P3,63,0.8129,0.160798,-0.337173,0.5333,17,1.25,True,1712
S1_spread_level,T2_rp75,P1,63,0.7343,0.127518,-0.294117,0.3984,121,4.44,True,1712
S1_spread_level,T2_rp75,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T2_rp75,P3,63,0.476,0.094238,-0.324248,0.5175,121,8.89,True,1712
S1_spread_level,T2_rp85,P1,63,0.6925,0.128869,-0.356115,0.4609,125,4.59,True,1712
S1_spread_level,T2_rp85,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T2_rp85,P3,63,0.4896,0.09694,-0.38665,0.5187,125,9.18,True,1712
S1_spread_level,T2_rp95,P1,63,0.7064,0.136477,-0.337173,0.5076,97,3.56,True,1712
S1_spread_level,T2_rp95,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T2_rp95,P3,63,0.5666,0.112155,-0.337173,0.5245,97,7.12,True,1712
S1_spread_level,T3_z1.5,P1,63,0.7414,0.140483,-0.337173,0.4866,107,3.93,True,1712
