signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,n_trades,valid,lead_source
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,252,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,252,0.6181,-0.244964,117,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T2_rp75,P3,hy_ig_spread_pct,252,0.1754,-0.45787,117,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,252,0.7062,-0.244964,125,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T2_rp85,P3,hy_ig_spread_pct,252,0.4401,-0.29918,125,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,252,0.7179,-0.337173,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,252,0.5976,-0.35495,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,252,0.6671,-0.337173,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T3_z1.5,P3,hy_ig_spread_pct,252,0.4864,-0.35495,107,True,pipeline
S1_spread_level,T3_z2.0,P1,hy_ig_spread_pct,252,0.7674,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.0,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T3_z2.0,P3,hy_ig_spread_pct,252,0.6978,-0.343264,73,True,pipeline
S1_spread_level,T3_z2.5,P1,hy_ig_spread_pct,252,0.7754,-0.337173,49,True,pipeline
S1_spread_level,T3_z2.5,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,252,0.7225,-0.342214,49,True,pipeline
S2a_zscore_252d,T1_p75,P1,hy_ig_zscore_252d,0,0.741,-0.224251,167,True,pipeline
S2a_zscore_252d,T1_p75,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T1_p75,P3,hy_ig_zscore_252d,0,0.1324,-0.397567,167,True,pipeline
S2a_zscore_252d,T1_p85,P1,hy_ig_zscore_252d,0,0.9608,-0.312163,103,True,pipeline
S2a_zscore_252d,T1_p85,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T1_p85,P3,hy_ig_zscore_252d,0,0.5201,-0.390408,103,True,pipeline
S2a_zscore_252d,T1_p95,P1,hy_ig_zscore_252d,0,1.0685,-0.233541,83,True,pipeline
S2a_zscore_252d,T1_p95,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T1_p95,P3,hy_ig_zscore_252d,0,0.8369,-0.232028,83,True,pipeline
S2a_zscore_252d,T2_rp75,P1,hy_ig_zscore_252d,0,1.2293,-0.166291,173,True,pipeline
S2a_zscore_252d,T2_rp75,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T2_rp75,P3,hy_ig_zscore_252d,0,0.6802,-0.306973,173,True,pipeline
S2a_zscore_252d,T2_rp85,P1,hy_ig_zscore_252d,0,1.0276,-0.270103,167,True,pipeline
S2a_zscore_252d,T2_rp85,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T2_rp85,P3,hy_ig_zscore_252d,0,0.5607,-0.315278,167,True,pipeline
S2a_zscore_252d,T2_rp95,P1,hy_ig_zscore_252d,0,1.0771,-0.266199,99,True,pipeline
S2a_zscore_252d,T2_rp95,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T2_rp95,P3,hy_ig_zscore_252d,0,0.8461,-0.298696,99,True,pipeline
S2a_zscore_252d,T3_z1.5,P1,hy_ig_zscore_252d,0,1.0559,-0.230685,107,True,pipeline
S2a_zscore_252d,T3_z1.5,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T3_z1.5,P3,hy_ig_zscore_252d,0,0.7146,-0.234871,107,True,pipeline
S2a_zscore_252d,T3_z2.0,P1,hy_ig_zscore_252d,0,1.1031,-0.234277,75,True,pipeline
S2a_zscore_252d,T3_z2.0,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T3_z2.0,P3,hy_ig_zscore_252d,0,0.8997,-0.250327,75,True,pipeline
S2a_zscore_252d,T3_z2.5,P1,hy_ig_zscore_252d,0,1.044,-0.283864,61,True,pipeline
S2a_zscore_252d,T3_z2.5,P2,hy_ig_zscore_252d,0,1.0652,-0.204257,624,True,pipeline
S2a_zscore_252d,T3_z2.5,P3,hy_ig_zscore_252d,0,0.8555,-0.327944,61,True,pipeline
S2a_zscore_252d,T1_p75,P1,hy_ig_zscore_252d,1,0.9655,-0.228226,167,True,pipeline
S2a_zscore_252d,T1_p75,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T1_p75,P3,hy_ig_zscore_252d,1,0.4435,-0.369333,167,True,pipeline
S2a_zscore_252d,T1_p85,P1,hy_ig_zscore_252d,1,0.9769,-0.28343,103,True,pipeline
S2a_zscore_252d,T1_p85,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T1_p85,P3,hy_ig_zscore_252d,1,0.5625,-0.337831,103,True,pipeline
S2a_zscore_252d,T1_p95,P1,hy_ig_zscore_252d,1,0.919,-0.31207,83,True,pipeline
S2a_zscore_252d,T1_p95,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
