signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T1_fixed_p25,P3_long_short,1,0.8998,0.06,-23.93,14.8,True,valid
S1_level,T1_fixed_p50,P1_long_cash,1,0.8455,0.19,-23.93,13.84,True,valid
S1_level,T1_fixed_p50,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T1_fixed_p50,P3_long_short,1,0.777,0.39,-23.93,12.89,True,valid
S1_level,T1_fixed_p75,P1_long_cash,1,0.6662,0.36,-23.93,10.37,True,valid
S1_level,T1_fixed_p75,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T1_fixed_p75,P3_long_short,1,0.351,0.72,-43.06,5.94,True,valid
S1_level,T2_roll_p25,P1_long_cash,1,0.6662,0.25,-23.93,10.37,True,valid
S1_level,T2_roll_p25,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T2_roll_p25,P3_long_short,1,0.351,0.5,-43.06,5.94,True,valid
S1_level,T2_roll_p50,P1_long_cash,1,0.7691,0.81,-13.53,8.83,True,valid
S1_level,T2_roll_p50,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T2_roll_p50,P3_long_short,1,0.1683,1.61,-46.44,2.86,True,valid
S1_level,T2_roll_p75,P1_long_cash,1,0.5694,0.42,-13.53,3.92,True,valid
S1_level,T2_roll_p75,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T2_roll_p75,P3_long_short,1,-0.4126,0.83,-65.68,-6.97,False,invalid
S1_level,T3_zscore_1.0,P1_long_cash,1,0.3502,0.28,-13.53,1.98,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_1.0,P3_long_short,1,-0.649,0.56,-68.51,-10.84,False,invalid
S1_level,T3_zscore_neg_1.0,P1_long_cash,1,0.6317,0.22,-6.14,3.67,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short,1,-0.4429,0.44,-53.45,-7.47,False,invalid
S1_level,T3_zscore_1.5,P1_long_cash,1,0.042,0.44,-13.53,0.22,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_1.5,P3_long_short,1,-0.8715,0.89,-71.92,-14.37,False,invalid
S1_level,T3_zscore_neg_1.5,P1_long_cash,1,0.6651,0.11,0.0,2.43,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short,1,-0.5939,0.22,-61.41,-9.95,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash,1,0.0,0.28,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_2.0,P3_long_short,1,-0.8998,0.56,-73.44,-14.8,False,invalid
S1_level,T3_zscore_neg_2.0,P1_long_cash,1,0.5609,0.11,0.0,1.83,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short,1,-0.6675,0.22,-64.39,-11.14,False,invalid
S1_level,T1_fixed_p25,P1_long_cash,2,0.8998,0.03,-23.93,14.8,True,valid
S1_level,T1_fixed_p25,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T1_fixed_p25,P3_long_short,2,0.8998,0.06,-23.93,14.8,True,valid
S1_level,T1_fixed_p50,P1_long_cash,2,0.8122,0.19,-23.93,13.19,True,valid
S1_level,T1_fixed_p50,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T1_fixed_p50,P3_long_short,2,0.6951,0.39,-23.93,11.59,True,valid
S1_level,T1_fixed_p75,P1_long_cash,2,0.7408,0.31,-23.93,11.63,True,valid
S1_level,T1_fixed_p75,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T1_fixed_p75,P3_long_short,2,0.5023,0.61,-30.37,8.45,True,valid
S1_level,T2_roll_p25,P1_long_cash,2,0.689,0.25,-23.93,10.78,True,valid
S1_level,T2_roll_p25,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T2_roll_p25,P3_long_short,2,0.4,0.5,-39.21,6.76,True,valid
S1_level,T2_roll_p50,P1_long_cash,2,0.2896,0.81,-25.82,3.32,True,valid
S1_level,T2_roll_p50,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T2_roll_p50,P3_long_short,2,-0.4843,1.61,-70.65,-8.15,False,invalid
S1_level,T2_roll_p75,P1_long_cash,2,0.5688,0.42,-13.53,3.83,True,valid
S1_level,T2_roll_p75,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T2_roll_p75,P3_long_short,2,-0.4229,0.83,-65.68,-7.14,False,invalid
S1_level,T3_zscore_1.0,P1_long_cash,2,0.3269,0.28,-13.53,1.84,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_1.0,P3_long_short,2,-0.6658,0.56,-69.63,-11.11,False,invalid
S1_level,T3_zscore_neg_1.0,P1_long_cash,2,0.5443,0.22,-6.14,2.96,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short,2,-0.5291,0.44,-57.32,-8.89,False,invalid
S1_level,T3_zscore_1.5,P1_long_cash,2,0.0828,0.44,-13.53,0.44,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_1.5,P3_long_short,2,-0.8434,0.89,-70.95,-13.93,False,invalid
S1_level,T3_zscore_neg_1.5,P1_long_cash,2,0.3846,0.11,-3.74,1.36,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short,2,-0.726,0.22,-66.96,-12.08,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash,2,0.0,0.28,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_2.0,P3_long_short,2,-0.8998,0.56,-73.44,-14.8,False,invalid
S1_level,T3_zscore_neg_2.0,P1_long_cash,2,0.3266,0.11,-3.74,1.14,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength,2,0.8298,0.36,-19.94,10.56,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short,2,-0.7539,0.22,-68.11,-12.52,False,invalid
S1_level,T1_fixed_p25,P1_long_cash,3,0.8998,0.03,-23.93,14.8,True,valid
S1_level,T1_fixed_p25,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T1_fixed_p25,P3_long_short,3,0.8998,0.06,-23.93,14.8,True,valid
S1_level,T1_fixed_p50,P1_long_cash,3,0.8867,0.19,-23.93,14.4,True,valid
S1_level,T1_fixed_p50,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T1_fixed_p50,P3_long_short,3,0.8476,0.39,-23.93,13.99,True,valid
S1_level,T1_fixed_p75,P1_long_cash,3,0.7086,0.31,-23.93,11.08,True,valid
S1_level,T1_fixed_p75,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T1_fixed_p75,P3_long_short,3,0.4365,0.61,-36.18,7.36,True,valid
S1_level,T2_roll_p25,P1_long_cash,3,0.6502,0.25,-23.93,10.12,True,valid
S1_level,T2_roll_p25,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T2_roll_p25,P3_long_short,3,0.3207,0.5,-45.33,5.43,True,valid
S1_level,T2_roll_p50,P1_long_cash,3,0.3834,0.81,-19.45,4.47,True,valid
S1_level,T2_roll_p50,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T2_roll_p50,P3_long_short,3,-0.3467,1.61,-57.65,-5.86,False,invalid
S1_level,T2_roll_p75,P1_long_cash,3,0.4054,0.42,-13.53,2.71,True,valid
S1_level,T2_roll_p75,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T2_roll_p75,P3_long_short,3,-0.5597,0.83,-67.38,-9.39,False,invalid
S1_level,T3_zscore_1.0,P1_long_cash,3,0.1122,0.25,-13.53,0.68,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_1.0,P3_long_short,3,-0.8127,0.5,-71.82,-13.45,False,invalid
S1_level,T3_zscore_neg_1.0,P1_long_cash,3,0.5131,0.22,-6.14,2.8,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short,3,-0.5475,0.44,-58.34,-9.19,False,invalid
S1_level,T3_zscore_1.5,P1_long_cash,3,0.1492,0.44,-13.53,0.81,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_1.5,P3_long_short,3,-0.7958,0.89,-70.66,-13.18,False,invalid
S1_level,T3_zscore_neg_1.5,P1_long_cash,3,0.2296,0.11,-6.14,0.83,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short,3,-0.7934,0.22,-69.66,-13.14,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash,3,0.0,0.28,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_2.0,P3_long_short,3,-0.8998,0.56,-73.44,-14.8,False,invalid
S1_level,T3_zscore_neg_2.0,P1_long_cash,3,0.0314,0.11,-6.14,0.09,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength,3,0.8342,0.36,-19.62,10.58,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short,3,-0.8878,0.22,-73.03,-14.62,False,invalid
S1_level,T1_fixed_p25,P1_long_cash,6,0.8998,0.03,-23.93,14.8,True,valid
S1_level,T1_fixed_p25,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T1_fixed_p25,P3_long_short,6,0.8998,0.06,-23.93,14.8,True,valid
S1_level,T1_fixed_p50,P1_long_cash,6,0.8078,0.25,-23.93,12.98,True,valid
S1_level,T1_fixed_p50,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T1_fixed_p50,P3_long_short,6,0.6684,0.5,-23.93,11.16,True,valid
S1_level,T1_fixed_p75,P1_long_cash,6,0.7649,0.25,-23.93,12.06,True,valid
S1_level,T1_fixed_p75,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T1_fixed_p75,P3_long_short,6,0.5554,0.5,-31.9,9.32,True,valid
S1_level,T2_roll_p25,P1_long_cash,6,0.6966,0.25,-23.93,10.88,True,valid
S1_level,T2_roll_p25,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T2_roll_p25,P3_long_short,6,0.4122,0.5,-43.65,6.96,True,valid
S1_level,T2_roll_p50,P1_long_cash,6,0.445,0.81,-19.45,5.47,True,valid
S1_level,T2_roll_p50,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T2_roll_p50,P3_long_short,6,-0.2279,1.61,-54.6,-3.87,False,invalid
S1_level,T2_roll_p75,P1_long_cash,6,0.3485,0.42,-13.53,2.34,True,valid
S1_level,T2_roll_p75,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T2_roll_p75,P3_long_short,6,-0.6042,0.83,-68.51,-10.12,False,invalid
S1_level,T3_zscore_1.0,P1_long_cash,6,0.0731,0.22,-13.53,0.46,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_1.0,P3_long_short,6,-0.8401,0.44,-70.8,-13.88,False,invalid
S1_level,T3_zscore_neg_1.0,P1_long_cash,6,0.4577,0.22,-4.66,2.38,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short,6,-0.5998,0.44,-61.1,-10.05,False,invalid
S1_level,T3_zscore_1.5,P1_long_cash,6,0.5457,0.44,-6.38,2.64,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_1.5,P3_long_short,6,-0.5681,0.89,-70.66,-9.53,False,invalid
S1_level,T3_zscore_neg_1.5,P1_long_cash,6,0.3314,0.11,-2.49,1.38,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short,6,-0.7233,0.22,-66.82,-12.03,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash,6,0.0,0.28,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_2.0,P3_long_short,6,-0.8998,0.56,-73.44,-14.8,False,invalid
S1_level,T3_zscore_neg_2.0,P1_long_cash,6,0.4165,0.11,-1.02,1.7,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength,6,0.8464,0.36,-19.18,10.57,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short,6,-0.6843,0.22,-65.13,-11.41,False,invalid
S2_yoy,T1_fixed_p25,P1_long_cash,0,0.3204,0.58,-23.93,3.6,True,valid
S2_yoy,T1_fixed_p25,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T1_fixed_p25,P3_long_short,0,-0.4505,1.17,-60.47,-7.6,False,invalid
S2_yoy,T1_fixed_p50,P1_long_cash,0,-0.0017,1.33,-13.53,-0.01,False,invalid
S2_yoy,T1_fixed_p50,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T1_fixed_p50,P3_long_short,0,-0.9014,2.67,-72.12,-14.83,False,invalid
S2_yoy,T1_fixed_p75,P1_long_cash,0,0.0379,0.83,-6.91,0.14,True,valid
S2_yoy,T1_fixed_p75,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T1_fixed_p75,P3_long_short,0,-0.882,1.67,-72.28,-14.53,False,invalid
S2_yoy,T2_roll_p25,P1_long_cash,0,0.6511,0.58,-23.93,9.51,True,valid
S2_yoy,T2_roll_p25,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T2_roll_p25,P3_long_short,0,0.2486,1.17,-48.52,4.22,True,valid
S2_yoy,T2_roll_p50,P1_long_cash,0,0.4889,1.31,-19.98,5.03,True,valid
S2_yoy,T2_roll_p50,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T2_roll_p50,P3_long_short,0,-0.2798,2.61,-55.82,-4.74,False,invalid
S2_yoy,T2_roll_p75,P1_long_cash,0,0.324,1.06,-8.78,2.12,True,valid
S2_yoy,T2_roll_p75,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T2_roll_p75,P3_long_short,0,-0.631,2.11,-66.28,-10.55,False,invalid
S2_yoy,T3_zscore_1.0,P1_long_cash,0,0.198,0.83,-6.91,0.67,True,valid
S2_yoy,T3_zscore_1.0,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_1.0,P3_long_short,0,-0.813,1.67,-69.01,-13.45,False,invalid
S2_yoy,T3_zscore_neg_1.0,P1_long_cash,0,0.6771,0.56,-6.14,4.25,True,valid
S2_yoy,T3_zscore_neg_1.0,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_neg_1.0,P3_long_short,0,-0.3724,1.11,-60.33,-6.3,False,invalid
S2_yoy,T3_zscore_1.5,P1_long_cash,0,0.5632,0.39,0.0,0.67,True,valid
S2_yoy,T3_zscore_1.5,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_1.5,P3_long_short,0,-0.8139,0.78,-70.44,-13.47,False,invalid
S2_yoy,T3_zscore_neg_1.5,P1_long_cash,0,0.6024,0.22,0.0,3.14,True,valid
S2_yoy,T3_zscore_neg_1.5,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_neg_1.5,P3_long_short,0,-0.5066,0.44,-61.83,-8.52,False,invalid
S2_yoy,T3_zscore_2.0,P1_long_cash,0,0.4399,0.17,0.0,0.36,True,valid
S2_yoy,T3_zscore_2.0,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_2.0,P3_long_short,0,-0.853,0.33,-71.85,-14.08,False,invalid
S2_yoy,T3_zscore_neg_2.0,P1_long_cash,0,0.6024,0.22,0.0,3.14,True,valid
S2_yoy,T3_zscore_neg_2.0,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T3_zscore_neg_2.0,P3_long_short,0,-0.5066,0.44,-61.83,-8.52,False,invalid
S2_yoy,T4_zero,P1_long_cash,0,0.3327,0.53,-24.2,3.9,True,valid
S2_yoy,T4_zero,P2_signal_strength,0,0.765,0.63,-13.74,7.0,True,valid
S2_yoy,T4_zero,P3_long_short,0,-0.4147,1.06,-66.58,-7.0,False,invalid
S2_yoy,T1_fixed_p25,P1_long_cash,1,0.2601,0.58,-23.93,2.98,True,valid
S2_yoy,T1_fixed_p25,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T1_fixed_p25,P3_long_short,1,-0.5265,1.17,-66.58,-8.85,False,invalid
S2_yoy,T1_fixed_p50,P1_long_cash,1,-0.0591,1.33,-20.53,-0.49,False,invalid
S2_yoy,T1_fixed_p50,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T1_fixed_p50,P3_long_short,1,-0.9633,2.67,-77.15,-15.77,False,invalid
S2_yoy,T1_fixed_p75,P1_long_cash,1,-0.0907,0.83,-8.78,-0.48,False,invalid
S2_yoy,T1_fixed_p75,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T1_fixed_p75,P3_long_short,1,-0.9622,1.67,-74.88,-15.76,False,invalid
S2_yoy,T2_roll_p25,P1_long_cash,1,0.8215,0.58,-23.93,11.86,True,valid
S2_yoy,T2_roll_p25,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T2_roll_p25,P3_long_short,1,0.5302,1.17,-36.45,8.91,True,valid
S2_yoy,T2_roll_p50,P1_long_cash,1,0.5301,1.31,-19.98,5.52,True,valid
S2_yoy,T2_roll_p50,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T2_roll_p50,P3_long_short,1,-0.2221,2.61,-53.02,-3.77,False,invalid
S2_yoy,T2_roll_p75,P1_long_cash,1,-0.0632,1.03,-14.67,-0.46,False,invalid
S2_yoy,T2_roll_p75,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T2_roll_p75,P3_long_short,1,-0.9606,2.06,-76.09,-15.73,False,invalid
S2_yoy,T3_zscore_1.0,P1_long_cash,1,0.2367,0.83,-6.91,0.96,True,valid
S2_yoy,T3_zscore_1.0,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_1.0,P3_long_short,1,-0.7764,1.67,-72.71,-12.88,False,invalid
S2_yoy,T3_zscore_neg_1.0,P1_long_cash,1,0.6858,0.56,-6.14,4.03,True,valid
S2_yoy,T3_zscore_neg_1.0,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_neg_1.0,P3_long_short,1,-0.3992,1.11,-53.45,-6.74,False,invalid
S2_yoy,T3_zscore_1.5,P1_long_cash,1,0.6143,0.39,0.0,0.96,True,valid
S2_yoy,T3_zscore_1.5,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_1.5,P3_long_short,1,-0.777,0.78,-69.04,-12.89,False,invalid
S2_yoy,T3_zscore_neg_1.5,P1_long_cash,1,0.6651,0.22,0.0,2.43,True,valid
S2_yoy,T3_zscore_neg_1.5,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_neg_1.5,P3_long_short,1,-0.5939,0.44,-61.41,-9.95,False,invalid
S2_yoy,T3_zscore_2.0,P1_long_cash,1,0.5022,0.17,0.0,0.59,True,valid
S2_yoy,T3_zscore_2.0,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_2.0,P3_long_short,1,-0.8244,0.33,-70.83,-13.63,False,invalid
S2_yoy,T3_zscore_neg_2.0,P1_long_cash,1,0.6651,0.22,0.0,2.43,True,valid
S2_yoy,T3_zscore_neg_2.0,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T3_zscore_neg_2.0,P3_long_short,1,-0.5939,0.44,-61.41,-9.95,False,invalid
S2_yoy,T4_zero,P1_long_cash,1,0.3914,0.53,-23.93,4.76,True,valid
S2_yoy,T4_zero,P2_signal_strength,1,0.7695,0.63,-15.05,7.13,True,valid
S2_yoy,T4_zero,P3_long_short,1,-0.312,1.06,-58.6,-5.28,False,invalid
S2_yoy,T1_fixed_p25,P1_long_cash,2,0.283,0.58,-23.93,3.29,True,valid
S2_yoy,T1_fixed_p25,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T1_fixed_p25,P3_long_short,2,-0.4881,1.17,-61.69,-8.22,False,invalid
S2_yoy,T1_fixed_p50,P1_long_cash,2,0.0933,1.33,-15.46,0.77,True,valid
S2_yoy,T1_fixed_p50,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T1_fixed_p50,P3_long_short,2,-0.8013,2.67,-69.3,-13.27,False,invalid
S2_yoy,T1_fixed_p75,P1_long_cash,2,0.0067,0.83,-8.8,0.03,True,valid
S2_yoy,T1_fixed_p75,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T1_fixed_p75,P3_long_short,2,-0.8958,1.67,-72.75,-14.74,False,invalid
S2_yoy,T2_roll_p25,P1_long_cash,2,0.8486,0.58,-23.93,11.82,True,valid
S2_yoy,T2_roll_p25,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T2_roll_p25,P3_long_short,2,0.5262,1.17,-38.85,8.84,True,valid
S2_yoy,T2_roll_p50,P1_long_cash,2,0.4789,1.31,-21.01,5.04,True,valid
S2_yoy,T2_roll_p50,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T2_roll_p50,P3_long_short,2,-0.279,2.61,-62.57,-4.73,False,invalid
S2_yoy,T2_roll_p75,P1_long_cash,2,-0.1105,1.0,-15.46,-0.83,False,invalid
S2_yoy,T2_roll_p75,P2_signal_strength,2,0.7758,0.63,-14.01,7.29,True,valid
S2_yoy,T2_roll_p75,P3_long_short,2,-1.0095,2.0,-75.24,-16.47,False,invalid
S2_yoy,T3_zscore_1.0,P1_long_cash,2,-0.0673,0.83,-13.53,-0.38,False,invalid
